reader_id,birads_threshold,fpr,sensitivity
R1,4A,0.746031746031746,0.981707317073171
R2,4A,0.365079365079365,0.945121951219512
R3,4A,0.714285714285714,0.981707317073171
R4,4A,0.476190476190476,0.963414634146341
R5,4A,0.761904761904762,0.98780487804878
R6,4A,0.428571428571429,0.951219512195122
R7,4A,0.888888888888889,0.98780487804878
R8,4A,0.492063492063492,0.920731707317073
R9,4A,0.714285714285714,0.957317073170732
R1,4B,0.301587301587302,0.884146341463415
R2,4B,0.0317460317460317,0.463414634146341
R3,4B,0.206349206349206,0.847560975609756
R4,4B,0.301587301587302,0.908536585365854
R5,4B,0.158730158730159,0.878048780487805
R6,4B,0.174603174603175,0.859756097560976
R7,4B,0.365079365079365,0.957317073170732
R8,4B,0.174603174603175,0.823170731707317
R9,4B,0.238095238095238,0.817073170731707
R1,4C,0.0952380952380952,0.646341463414634
R2,4C,0,0.0304878048780488
R3,4C,0.0634920634920635,0.658536585365854
R4,4C,0.0793650793650794,0.701219512195122
R5,4C,0.0476190476190477,0.707317073170732
R6,4C,0.0158730158730159,0.621951219512195
R7,4C,0.0793650793650794,0.731707317073171
R8,4C,0.0158730158730159,0.445121951219512
R9,4C,0.0476190476190477,0.426829268292683
