scale_raw,scale_k,auc_generated,auc_real
2500,2.5,0.891,0.892
5000,5,0.908,0.911
10000,10,0.921,0.923
25000,25,0.932,0.925
50000,50,0.937,
100000,100,0.942,
250000,250,0.948,
500000,500,0.95,
1000000,1000,0.953,
