bin_center,count
0.0025,0
0.0075,0
0.0125,0
0.0175,0
0.0225,0
0.0275,0
0.0325,0
0.0375,0
0.0425,0
0.0475,0
0.0525,0
0.0575,0
0.0625,0
0.0675,0
0.0725,0
0.0775,0
0.0825,0
0.0875,0
0.0925,0
0.0975,0
0.1025,0
0.1075,0
0.1125,0
0.1175,0
0.1225,0
0.1275,0
0.1325,0
0.1375,0
0.1425,0
0.1475,0
0.1525,0
0.1575,0
0.1625,0
0.1675,0
0.1725,1
0.1775,4
0.1825,12
0.1875,31
0.1925,64
0.1975,87
0.2025,143
0.2075,241
0.2125,326
0.2175,493
0.2225,652
0.2275,795
0.2325,1055
0.2375,1379
0.2425,1695
0.2475,1962
0.2525,2403
0.2575,2789
0.2625,3199
0.2675,3638
0.2725,3794
0.2775,4448
0.2825,4779
0.2875,5244
0.2925,5388
0.2975,5777
0.3025,6063
0.3075,6040
0.3125,6344
0.3175,6314
0.3225,6553
0.3275,6515
0.3325,6370
0.3375,6176
0.3425,5986
0.3475,6062
0.3525,5819
0.3575,5515
0.3625,5176
0.3675,5138
0.3725,4682
0.3775,4572
0.3825,4271
0.3875,4057
0.3925,3735
0.3975,3493
0.4025,3285
0.4075,3081
0.4125,2898
0.4175,2692
0.4225,2551
0.4275,2402
0.4325,2245
0.4375,2094
0.4425,1904
0.4475,1784
0.4525,1670
0.4575,1584
0.4625,1380
0.4675,1289
0.4725,1222
0.4775,1091
0.4825,998
0.4875,856
0.4925,728
0.4975,681
0.5025,606
0.5075,495
0.5125,476
0.5175,406
0.5225,347
0.5275,286
0.5325,249
0.5375,210
0.5425,173
0.5475,144
0.5525,146
0.5575,120
0.5625,86
0.5675,84
0.5725,66
0.5775,69
0.5825,63
0.5875,47
0.5925,30
0.5975,33
0.6025,32
0.6075,24
0.6125,18
0.6175,14
0.6225,16
0.6275,10
0.6325,7
0.6375,4
0.6425,6
0.6475,7
0.6525,4
0.6575,1
0.6625,5
0.6675,1
0.6725,0
0.6775,0
0.6825,0
0.6875,0
0.6925,0
0.6975,0
0.7025,0
0.7075,0
0.7125,0
0.7175,0
0.7225,0
0.7275,0
0.7325,0
0.7375,0
0.7425,0
0.7475,0
0.7525,0
0.7575,0
0.7625,0
0.7675,0
0.7725,0
0.7775,0
0.7825,0
0.7875,0
0.7925,0
0.7975,0
0.8025,0
0.8075,0
0.8125,0
0.8175,0
0.8225,0
0.8275,0
0.8325,0
0.8375,0
0.8425,0
0.8475,0
0.8525,0
0.8575,0
0.8625,0
0.8675,0
0.8725,0
0.8775,0
0.8825,0
0.8875,0
0.8925,0
0.8975,0
0.9025,0
0.9075,0
0.9125,0
0.9175,0
0.9225,0
0.9275,0
0.9325,0
0.9375,0
0.9425,0
0.9475,0
0.9525,0
0.9575,0
0.9625,0
0.9675,0
0.9725,0
0.9775,0
0.9825,0
0.9875,0
0.9925,0
0.9975,0
