animal_id,grupo,tam_camada,preshock_1,preshock_2,preshock_3,preshock_4,preshock_5,context_test_freezing,estro
3A,Control RE,9,20.6666667,11,37.6666667,56,87.5,38.8,1
3B,Control RE,7,19.1666667,6.16666667,12.6666667,54.3333333,80.5,15.1666667,2
3C,Control RE,7,11.8333333,3,20.5,68.8333333,72,30.5333333,2
3D,Control RE,7,17.1666667,41.6666667,75.1666667,87.5,93.1666667,51.5,2
6A,Control RE,6,0,3.5,62.5,96.1666667,67.6666667,55.9333333,1
6B,Control RE,9,2.33333333,27,29.5,68.1666667,79.3333333,14.9333333,1
6C,Control RE,7,20.8333333,1.5,17.1666667,58.8333333,64.3333333,36.5666667,1
6D,Control RE,6,19.6666667,5.5,31.5,48.6666667,57.5,22.7,1
7A,Control RE,7,12.1666667,2.83333333,35.6666667,49.6666667,53.6666667,59.1,2
7B,Control RE,7,0,0,5.83333333,27.5,40.6666667,32.6666667,1
7C,Control RE,4,0,5.16666667,5.5,45,76.8333333,29.3666667,2
7D,Control RE,9,0,2.33333333,11.5,54.6666667,46,21.1,1
2A,Stress RE,6,19.3333333,14.5,24,64.8333333,79,59,1
2b,Stress RE,8,8.5,2.33333333,21.3333333,50,77.1666667,45,1
2D,Stress RE,5,0,0,16.5,27,69.6666667,3.96666667,2
4A,Stress RE,9,18.1666667,8.33333333,2.66666667,11,37,16.5333333,2
4B,Stress RE,8,0,0,6,38.5,40.8333333,20.0666667,2
4C,Stress RE,6,9,3.83333333,14.3333333,64,65.3333333,43.7666667,2
4D,Stress RE,7,1.83333333,1.5,9.66666667,20.1666667,70.6666667,16.1,2
8A,Stress RE,4,8.66666667,30.6666667,41.8333333,42.3333333,83,38.2,2
8B,Stress RE,9,0,0,6.5,61,68.6666667,24.5666667,2
8C,Stress RE,9,0,0,0,5,13.6666667,4,1
8D,Stress RE,9,0,0,0,7.33333333,58.3333333,11.8,2
1A,NP,0,0,0,6.33333333,20.6666667,59.1666667,18.4,2
1B,NP,0,0.66666667,0,11.8333333,26,13.6666667,9.83333333,1
1C,NP,0,16.1666667,8.33333333,5.83333333,46.1666667,62,30.9666667,1
1D,NP,0,8,0,4.5,0,18.5,17.2,1
5A,NP,0,20.1666667,1.83333333,45,70,88.6666667,21.2333333,2
5B,NP,0,1.5,3.33333333,2.5,20,68.1666667,21.2,1
5C,NP,0,0,0,0,8.33333333,19.3333333,6.26666667,1
5D,NP,0,2.66666667,0,0,41.5,41.6666667,5.36666667,2
9B,NP,0,11.3333333,5.33333333,14,46.8333333,63,18.6333333,1
9C,NP,0,15.6666667,7.66666667,21.1666667,54,62.3333333,30.6666667,2
9D,NP,0,1.33333333,0,13.1666667,21.5,64.3333333,26.9666667,1
