grupo,panel,metrica,unidad,valor
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),35.542
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),40.948
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),31.33
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),28.706
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),37.256
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),38.051
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),26.966
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),30.511
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),40.511
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),38.065
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),34.983
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),27.83
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),44.617
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),41.936
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),40.302
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),25.139
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),32.904
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),24.227
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),30.113
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),27.792
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),38.025
SHAM,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),42.372
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),16.368
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),14.64
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),18.696
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),17.333
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),16.796
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),13.396
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),16.043
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),11.102
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),7.997
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),9.779
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),8.476
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),10.126
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),14.537
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),9.027
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),8.142
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),8.496
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),7.838
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),8.179
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),6.164
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),9.129
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),8.133
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),7.982
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),11.27
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),9.075
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),8.6
TBI,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),9.771
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),34.316
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),29.121
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),28.044
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),36.119
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),28.409
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),36.234
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),30.898
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),40.06
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),34.016
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),33.514
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),27.065
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),30.329
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),26.249
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),32.359
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),26.844
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),36.223
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),26.768
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),29.954
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),30.766
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),31.662
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),38.175
TBI+LOAD,Fig.2c,map2_hipocampo,% (unidad no declarada en la leyenda),42.76
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),93.58825
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),97.86618
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),87.37562
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),90.47122
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),81.65473
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),88.03744
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),85.73744
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),77.10391
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),84.91077
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),95.38838
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),97.29559
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),89.16431
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),70.09894
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),84.16051
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),87.37899
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),79.54887
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),81.52563
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),70.811
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),84.92127
SHAM,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),83.67622
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),58.83838
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),63.92472
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),52.21707
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),54.34015
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),62.19798
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),35.71429
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),42.30266
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),37.1038
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),47.10744
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),50.4175
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),66.42447
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),33.34521
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),62.05572
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),49.97379
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),50.31742
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),60.24735
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),40.52262
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),57.38682
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),61.35421
TBI,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),46.67661
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),82.29242
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),87.30139
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),69.20008
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),89.04682
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),81.53176
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),87.72638
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),71.95364
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),64.15244
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),74.20543
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),80.63847
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),81.14936
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),73.09703
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),77.45311
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),73.0726
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),80.32902
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),71.96581
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),79.70304
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),87.10555
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),61.37757
TBI+LOAD,Fig.2d,celulas_nissl_positivas,% (unidad no declarada en la leyenda),67.82796
