Population1,Population2,Lat.1,Long.1,Lat.2,Long.2,Distance_Km,Pairwise_outf3,Comparison
Achuar,Amahuaca,-4,-74.316667,-12.283333,-70.866667,997.261971681426,0.8917744703748,SA-SA
Achuar,Arapiun,-4,-74.316667,-2.6975,-55.599167,2085.03505138058,0.893992911248718,SA-SA
Achuar,Arara,-4,-74.316667,-3.91,-53.59,2301.74836065915,0.893823351748211,SA-SA
Achuar,Ashaninka,-4,-74.316667,-10.025656,-74.264184,670.797997069304,0.890142732090972,SA-SA
Achuar,Awajún,-4,-74.316667,-6.056667,-77.166389,390.21426954881,0.893894091597911,SA-SA
Achuar,Ayoreo,-4,-74.316667,-16.353333,-68.131389,1532.45105468102,0.892585142442535,SA-SA
Achuar,Baniwa,-4,-74.316667,1.709722,-69.845,807.140582289463,0.891871903105302,SA-SA
Achuar,Bora,-4,-74.316667,-3.775278,-73.289167,116.827224497968,0.891377185071018,SA-SA
Achuar,Cayubaba,-4,-74.316667,-10.484722,-65.43,1217.81613073285,0.894914496503924,SA-SA
Achuar,Chamicuro,-4,-74.316667,-11.253056,-74.637222,808.179693849535,0.890687749745357,SA-SA
Achuar,Chiquitano,-4,-74.316667,-16.066667,-60.6,2013.85177338315,0.891915705865402,SA-SA
Achuar,Cocama-Cocamilla,-4,-74.316667,-5.235833,-75.678611,204.357782948847,0.892225772205197,SA-SA
Achuar,Guajajara,-4,-74.316667,-5.568889,-46.737778,3064.04350444399,0.891821964277917,SA-SA
Achuar,Guaná-Chané,-4,-74.316667,-21.516667,-61.793056,2373.61488700041,0.89329203971852,SA-SA
Achuar,Guarani,-4,-74.316667,-22.516667,-63.793056,2352.77850219334,0.892711985083528,SA-SA
Achuar,Guarani-Mbya,-4,-74.316667,-23.1,-55,2973.33607590305,0.891641755768181,SA-SA
Achuar,Guarayo,-4,-74.316667,-15.890556,-63.1875,1798.64910051751,0.892522061125007,SA-SA
Achuar,Karitiana,-4,-74.316667,-10,-63,1417.03261429671,0.894393021110851,SA-SA
Achuar,Kichwa,-4,-74.316667,-0.466389,-76.986944,492.878784080259,0.889590710005075,SA-SA
Achuar,Manoki-Irantxe,-4,-74.316667,-11.474444,-58.52,1929.66305314501,0.893831194256738,SA-SA
Achuar,Matsiguenga,-4,-74.316667,-11.253056,-74.637222,808.179693849535,0.890508047366504,SA-SA
Achuar,Maya,-4,-74.316667,19,-91,3145.98209230997,0.901962851562827,NA-SA
Achuar,Mekranoti,-4,-74.316667,-8.44843,-53.3606,2370.60624761391,0.893164521378251,SA-SA
Achuar,Mixe,-4,-74.316667,16.95,-96.58,3381.04098201542,0.896652371842139,NA-SA
Achuar,Mixtec,-4,-74.316667,17,-97,3418.2770538332,0.905153692650065,NA-SA
Achuar,Movima,-4,-74.316667,-13.754722,-62.5775,1685.74733797137,0.895200308926544,SA-SA
Achuar,Munduruku,-4,-74.316667,-7.635278,-48.423889,2895.19311242303,0.892062839403711,SA-SA
Achuar,Nahua-Xochitlán,-4,-74.316667,19.968611,-97.628889,3690.4359165247,0.895638150251819,NA-SA
Achuar,Palikur-Arukwayene,-4,-74.316667,3.383056,-51.298611,2689.21139689378,0.893918014680389,SA-SA
Achuar,Piapoco,-4,-74.316667,3,-68,1049.28632610208,0.892452423326566,SA-SA
Achuar,Pima,-4,-74.316667,29,-108,5142.51884233523,0.898339529492411,NA-SA
Achuar,Piratapuya,-4,-74.316667,0.866667,-68.433333,849.618788706901,0.893508440554097,SA-SA
Achuar,Qom,-4,-74.316667,-21.535278,-64.729444,2209.94242237283,0.89299708401519,SA-SA
Achuar,Quechua,-4,-74.316667,-13.5,-72,1087.7449921468,0.897632693587953,SA-SA
Achuar,Shipibo-Conibo,-4,-74.316667,-11.554444,-73.148333,850.757568557667,0.889932401418028,SA-SA
Achuar,Sirionó,-4,-74.316667,-14,-65.5,1475.22670832562,0.893391706830329,SA-SA
Achuar,Surui,-4,-74.316667,-11,-62,1566.05034489075,0.894587292304003,SA-SA
Achuar,Tehuelche,-4,-74.316667,-43.248889,-65.304722,4458.81927535044,0.894575623921076,SA-SA
Achuar,Tehuelche-Mapuche,-4,-74.316667,-43.248889,-67.304722,4423.66723990316,0.893768620294627,SA-SA
Achuar,Tiryó,-4,-74.316667,1.6104,-55.48645,2185.98707778541,0.89326631956773,SA-SA
Achuar,Tsimané,-4,-74.316667,-14.766111,-67.083889,1437.13271195394,0.893142289328635,SA-SA
