country,n_surveys,jackal_prevalence,wolf_prevalence,forest_mean
Hungary,3385,0.2274741506646972,0.0005908419497784342,33.28418904446771
Serbia,1080,0.19166666666666668,0.48518518518518516,28.58266398981579
Greece,997,0.2768304914744233,0.45536609829488467,16.321542986065808
Bulgaria,942,0.346072186836518,0.7569002123142251,34.65439751719889
Croatia,695,0.26906474820143883,0.4633093525179856,31.909630986183608
Bosnia and Herzegovina,680,0.1514705882352941,0.4588235294117647,37.400048807559514
Italy,266,0.10150375939849623,0.22556390977443608,39.18347352841667
Austria,241,0.03734439834024896,0.07468879668049792,35.70357148449487
Romania,215,0.17209302325581396,0.2186046511627907,14.777673352705271
Slovenia,205,0.04390243902439024,0.9219512195121952,46.66066677711615
Slovakia,146,0.0547945205479452,0.2328767123287671,17.233084013261028
Macedonia,139,0.02877697841726619,0.9424460431654677,20.282954470842917
