wolf_present,forest_bin,n,jackal,wolf_label
0,0-10,1957,0.20848237097598366,sin_lobo
0,10-30,1691,0.2708456534594914,sin_lobo
0,30-60,1781,0.24873666479505896,sin_lobo
0,60-100,756,0.22354497354497355,sin_lobo
1,0-10,741,0.2631578947368421,con_lobo
1,10-30,587,0.24872231686541738,con_lobo
1,30-60,648,0.09259259259259259,con_lobo
1,60-100,830,0.10120481927710843,con_lobo
