wolf_present,human_q,n,jackal,dist_human_mean,wolf_label
0,Q1,1135,0.19647577092511012,-0.4294192109858314,sin_lobo
0,Q2,1281,0.24434035909445745,-0.021484058878171702,sin_lobo
0,Q3,1239,0.24858757062146894,0.24919224528963396,sin_lobo
0,Q4,1350,0.2614814814814815,0.5767751630921237,sin_lobo
0,Q5,1180,0.23813559322033898,1.1101674026085404,sin_lobo
1,Q1,664,0.19578313253012047,-0.4339447333093345,con_lobo
1,Q2,517,0.15860735009671179,-0.02555069509848707,con_lobo
1,Q3,559,0.18962432915921287,0.2591262573677456,con_lobo
1,Q4,448,0.15401785714285715,0.5723565855409705,con_lobo
1,Q5,618,0.15857605177993528,1.2773370651035758,con_lobo
