key,country,transect_id,survey_year,presence,wolf,forest,snow,dist_human,dist_water,listening_duration
1,Bosnia and Herzegovina,1,2016,1,0.0,10.3448275862069,25.6842076084596,0.0202247447459259,-1.70044097889742,1.6094379124341
10,Bosnia and Herzegovina,1,2016,0,0.0,55.3763440860215,22.7672684564696,0.102940866528571,-0.179109328796215,1.6094379124341
100,Bosnia and Herzegovina,14,2016,0,0.0,20.3980099502488,30.0891383529852,-0.153367997331905,2.37813541970446,1.6094379124341
1000,Serbia,229,2012,1,0.0,19.047619047619,30.1923225410916,-0.155238839964823,0.413362241536181,1.6094379124341
10000,Hungary,854,2012,0,0.0,9.09090909090909,25.5921675394566,-0.0487052897225895,0.202210322483621,1.38629436111989
10001,Hungary,854,2012,0,0.0,27.4111675126904,25.4794593498779,0.0894101535199572,-0.0700479902474449,1.38629436111989
10002,Hungary,854,2012,0,0.0,29.3532338308458,25.4678057719509,0.138464721649458,-0.0182284364061222,1.38629436111989
10003,Hungary,854,2012,1,0.0,34.1584158415842,22.3797186106824,0.614512115026518,-0.127007286933372,1.38629436111989
10004,Hungary,854,2012,0,0.0,41.0,22.5809122257521,0.52581259695664,-0.344152657709826,1.38629436111989
10005,Hungary,854,2012,1,0.0,32.6732673267327,22.9366562031044,0.513036953694832,0.122074964678665,1.38629436111989
10006,Hungary,854,2012,0,0.0,39.0862944162437,20.4350146169529,0.161030849066364,0.417226306591507,1.38629436111989
10007,Hungary,854,2012,0,0.0,18.8118811881188,21.3440094758076,-0.070896974784508,0.718003245271159,1.38629436111989
10008,Hungary,854,2012,1,0.0,0.512820512820513,23.7372192432026,-0.486589745327412,0.602762356682443,1.38629436111989
10009,Hungary,856,2012,0,0.0,30.3482587064677,30.1235447462221,0.444535489958999,-1.20731580456732,1.38629436111989
1001,Serbia,229,2012,1,0.0,21.8905472636816,34.924960488939,0.0579518827679523,1.29908183277483,1.6094379124341
10010,Hungary,856,2012,0,0.0,47.5,28.1144904224686,0.516099481802619,-0.839331675750323,1.38629436111989
10011,Hungary,856,2012,1,0.0,43.0693069306931,30.1384554296876,1.58595082988354,-0.798870557973445,1.38629436111989
