"Z[CI, 0]",1.206,0.327
"Z[CI, 1]",-2.793,0.387
"Z[CM, 0]",4.442,0.291
"Z[CM, 1]",0.411,0.352
"Z[CO, 0]",3.247,0.315
"Z[CO, 1]",-0.275,0.377
"Z[CV, 0]",3.597,0.205
"Z[CV, 1]",0.256,0.252
"Z[CR, 0]",3.7,0.333
"Z[CR, 1]",1.7,0.428
"Z[H, 0]",-1.843,0.125
"Z[H, 1]",0.682,0.139
"Z[L, 0]",-1.887,0.134
"Z[L, 1]",0.369,0.182
"Z[LL, 0]",-1.919,0.121
"Z[LL, 1]",0.42,0.191
"Z[EH, 0]",-2.034,0.156
"Z[EH, 1]",-0.937,0.225
"Z[EL, 0]",-2.199,0.109
"Z[EL, 1]",-0.95,0.143
"Z[Ureilites, 0]",-2.674,0.209
"Z[Ureilites, 1]",2.141,0.207
"Z[Mars, 0]",-1.934,0.104
"Z[Mars, 1]",-0.267,0.149
"Z[Earth, 0]",-2.371,0.143
"Z[Earth, 1]",-1.964,0.156
"Z[Vesta Group, 0]",-2.11,0.183
"Z[Vesta Group, 1]",1.966,0.248
