number,dive_site,date,longitude_deg,latitude_deg,depth_m,bones_observed,stage
457,FDZ186,2022/02/20,105.1588,-35.8216,6466.4,22+,Reef stage
458,FDZ186,2022/02/20,105.1512,-35.8152,6444.1,2,Reef stage
459,FDZ186,2022/02/20,105.1511,-35.8151,6444.4,2,Reef stage
460,FDZ186,2022/02/20,105.1509,-35.8146,6446.4,4,Reef stage
461,FDZ187,2022/02/21,106.1866,-36.0588,6329,4,Whale fossil
462,FDZ187,2022/02/21,106.184,-36.0574,6324.3,1,Whale fossil
463,FDZ187,2022/02/21,106.1785,-36.054,6330.2,1,Whale fossil
464,FDZ187,2022/02/21,106.1772,-36.0534,6330.8,1,Whale fossil
465,FDZ187,2022/02/21,106.1765,-36.0531,6329.3,1,Whale fossil
466,FDZ187,2022/02/21,106.1763,-36.053,6329.4,1,Whale fossil
467,FDZ187,2022/02/21,106.1739,-36.0525,6331,2,Whale fossil
468,FDZ187,2022/02/21,106.1689,-36.0533,6343.2,1,Whale fossil
469,FDZ187,2022/02/21,106.1684,-36.0534,6346,3,Whale fossil
470,FDZ187,2022/02/21,106.1661,-36.0538,6348.2,3,Whale fossil
471,FDZ187,2022/02/21,106.1654,-36.0539,6347.7,5,Whale fossil
472,FDZ187,2022/02/21,106.1607,-36.0541,6344.9,1,Whale fossil
473,FDZ187,2022/02/21,106.1593,-36.054,6342.2,2,Whale fossil
474,FDZ187,2022/02/21,106.1579,-36.0535,6337.9,7,Whale fossil
475,FDZ187,2022/02/21,106.1564,-36.0519,6331.7,10+,Whale fossil
476,FDZ187,2022/02/21,106.1563,-36.0512,6329.5,1,Whale fossil
477,FDZ187,2022/02/21,106.1558,-36.0511,6330.6,1,Whale fossil
478,FDZ187,2022/02/21,106.1531,-36.0501,6326.3,6,Whale fossil
479,FDZ187,2022/02/21,106.1531,-36.0499,6326.6,1,Reef stage
480,FDZ187,2022/02/21,106.1904,-36.0672,6326.7,3,Whale fossil
481,FDZ163,2023/01/24,101.5553,-33.4662,6788.8, Three elongated vertebrae ,Sulfophilic stage
482,FDZ173,2023/02/03,96.5286,-32.502,4625.2,One whale bone,Sulfophilic stage
483,FDZ174/177,2023/02/04,96.2777,-32.8059,5610,Near complete whale skeloton,Sulfophilic stage
484,FDZ178,2023/02/09,98.5722,-32.7121,5634,Four elongated vertebrae ,Sulfophilic stage
485,FDZ178,2023/02/09,98.5612,-32.6983,5609.1,Partial skeleton with eight ribs and several thoracic vertebrae remains ,Sulfophilic stage
"A total of 485 whale-fall sites or fossil assemblages were documented using an HOV HD camera system from the seafloor of the Diamantina Zone. The original dataset is available on Science Data Bank (https://doi.org/10.57760/sciencedb.28830)62.
+ In cases where sediment cover or bone overlap limited observation, a plus sign ('+') in the column 'Number of bones observed in each assemblage' indicates that only the stated number of large fossil bones (>20 cm) could be confidently identified via in situ imagery. The actual number of bones preserved at the site is likely equal to or greater than this count.",,,,,,,None
