cell_line,testosterone_nM,replicate,growth_normalized
PFA4,50,2_R2,1.79
PFA4,100,2_R2,1.16
PFA4,1000,2_R2,1.38
PFA4,0,2-R3,0.98
PFA4,10,2-R3,1.26
PFA4,25,2-R3,1.14
PFA4,50,2-R3,1.46
PFA4,100,2-R3,1.13
PFA4,1000,2-R3,1.07
PFA6,0,1_R1,1.008
PFA6,10,1_R1,0.906
PFA6,25,1_R1,1.177
PFA6,50,1_R1,1.395
PFA6,100,1_R1,1.127
PFA6,1000,1_R1,0.935
PFA6,0,1_R2,1.135
PFA6,10,1_R2,0.858
PFA6,25,1_R2,1.145
PFA6,50,1_R2,1.768
PFA6,100,1_R2,1.346
PFA6,1000,1_R2,1.233
PFA6,0,1-R3,0.956
PFA6,10,1-R3,1.239
PFA6,25,1-R3,1.037
PFA6,50,1-R3,1.232
PFA6,100,1-R3,1.384
PFA6,1000,1-R3,0.824
PFA6,0,2_R1,0.952
PFA6,10,2_R1,0.955
PFA6,25,2_R1,1.093
PFA6,50,2_R1,2.138
PFA6,100,2_R1,1.231
PFA6,1000,2_R1,1.053
PFA6,0,2_R2,1.1
PFA6,10,2_R2,0.923
PFA6,25,2_R2,1.278
PFA6,50,2_R2,1.43
PFA6,100,2_R2,1.283
PFA6,1000,2_R2,1.017
PFA6,0,2-R3,0.848
PFA6,10,2-R3,1.361
PFA6,25,2-R3,1.304
PFA6,50,2-R3,1.368
PFA6,100,2-R3,1.318
PFA6,1000,2-R3,0.861
