cell_line,hormone,replicate,growth_normalized
PFA9,Control,1_R1,0.75662651
PFA9,50nM Testosterone,1_R1,1.44578313
PFA9,50nM DHT,1_R1,1.72048193
PFA9,50nM Progesterone,1_R1,1.24337349
PFA9,50nM Estradiol,1_R1,1.06024096
PFA9,Control,1_R2,1.13253012
PFA9,50nM Testosterone,1_R2,1.53253012
PFA9,50nM DHT,1_R2,1.4939759
PFA9,50nM Progesterone,1_R2,0.8626506
PFA9,50nM Estradiol,1_R2,1.73493976
PFA9,Control,2_R1,1.18072289
PFA9,50nM Testosterone,2_R1,1.4313253
PFA9,50nM DHT,2_R1,1.82939759
PFA9,50nM Progesterone,2_R1,0.93493976
PFA9,50nM Estradiol,2_R1,1.28674699
PFA9,Control,2_R2,0.93012048
PFA9,50nM Testosterone,2_R2,1.60481928
PFA9,50nM DHT,2_R2,1.68192771
PFA9,50nM Progesterone,2_R2,1.38313253
PFA9,50nM Estradiol,2_R2,1.44096386
PFA4,Control,1_R1,1.03212851
PFA4,50nM Testosterone,1_R1,1.3935743
PFA4,50nM DHT,1_R1,1.82730924
PFA4,50nM Progesterone,1_R1,1.00803213
PFA4,50nM Estradiol,1_R1,1.17269076
PFA4,Control,1_R2,1.02008032
PFA4,50nM Testosterone,1_R2,1.43373494
PFA4,50nM DHT,1_R2,1.64658635
PFA4,50nM Progesterone,1_R2,1.04016064
PFA4,50nM Estradiol,1_R2,1.18875502
PFA4,Control,2_R1,1.10441767
PFA4,50nM Testosterone,2_R1,1.59437751
PFA4,50nM DHT,2_R1,1.56465863
PFA4,50nM Progesterone,2_R1,0.94779116
PFA4,50nM Estradiol,2_R1,1.24497992
PFA4,Control,2_R2,0.84337349
PFA4,50nM Testosterone,2_R2,1.44176707
PFA4,50nM DHT,2_R2,1.76706827
PFA4,50nM Progesterone,2_R2,0.88353414
PFA4,50nM Estradiol,2_R2,1.10040161
