indice_aridez,ml_obs_1982_2000,ml_obs_2001_2022,dgvm_1982_2000,dgvm_2001_2022
0.025,2.78081654408473,-0.568759102292858,1.93735379270587,1.03072909692262
0.075,1.47240806031258,1.13195517647574,2.59685460660753,2.00720203066968
0.125,1.50540011773768,0.346819416695534,2.05226544717048,1.95984972386665
0.175,2.15481682385923,-0.399922658301156,3.02828210057189,1.29426068546476
0.225,2.04387356817769,-0.230241619537033,2.61330264093723,1.7309511410999
0.275,2.82001259540699,0.239252719162631,3.21953053053793,2.16039755295996
0.325,3.26359514741199,0.597135578376615,3.71997823889065,2.3874442938262
0.375,3.23111856835126,0.859490761103843,4.24380347348404,2.69054925439532
0.425,3.30424141575289,1.17605359698464,4.09733142376027,3.05915212447822
0.475,3.07106102969366,1.59762920008187,4.51152126280988,3.93698349007282
0.525,3.05033011887162,1.77802172394613,4.11910167600188,3.94318645260224
0.575,3.33244773195053,1.84494486568755,4.36669209201687,4.38275587528344
0.625,3.31510018726807,1.56691265761303,3.54702982206715,4.13456176238436
0.675,3.10230273115514,1.69396888459363,3.13730556058112,4.00514088759259
0.725,3.41341499590764,1.73523028901462,2.81882819238057,4.37796309163819
0.775,3.80597278374134,1.77371752694853,3.33005624838629,4.23092603241662
0.825,3.8450632949975,2.05847018391499,2.81781405272179,4.50760067285051
0.875,3.7465960271274,2.2239895171985,3.09559281724219,4.40971017153035
0.925,3.92296021752502,2.40017464707607,2.97293053422387,4.2755952631777
0.975,3.62340716432279,2.36213558016867,3.02543950964767,4.6332043525803
1.025,3.67306669380724,2.33129618752164,3.24252120268904,4.38251367974949
1.075,3.43784492827302,2.45071214938465,3.70689280931557,4.20274456125687
1.125,3.439408111982,2.7195973643067,3.41606498885354,3.82185508954206
1.175,3.53611840253545,2.62587086946712,3.92064910419834,3.81252333046488
1.225,3.56587931227301,2.86721083958211,4.0494866726667,4.21161538495247
1.275,3.65180803740591,2.61800287165611,4.40129696494864,4.22109304325302
1.325,3.42935792396297,2.74163160716705,4.35233880862771,4.16967974467139
1.375,3.3506148224209,2.63483304972925,4.55505248172215,4.61976278320086
1.425,3.19248027352372,2.57359571816937,4.7962965661164,4.18303869561055
1.475,3.02927412266573,2.59149934374059,4.42674314727873,4.0966706530757
1.525,3.09251466309702,2.74812376480272,4.68779488098592,4.00351661074865
1.575,3.04594658531705,2.74197506046797,4.79901265250475,4.19443775866406
1.625,3.21075218388931,2.71504112513612,4.63821443040537,4.1101838906438
1.675,3.12938297712088,2.67495669994331,4.70945534338742,4.02212447578021
1.725,2.85712642750156,2.69248218378244,4.80413874569228,4.265341603699
1.775,2.94444527025107,2.84481729245399,4.76116807063032,4.19873876374192
1.825,2.83400962213051,3.12007689642547,4.68082143153232,4.46153076736251
