indice_aridez,tendencia_1982_2000,tendencia_2001_2022
0.15,0.956852376943097,1.46767665313361
0.25,1.27037227652405,1.51323076992815
0.35,1.19128105012171,2.08150087463761
0.45,1.55422252321392,2.85995180639324
0.55,2.62563314586695,2.97732443367143
0.65,3.10889898199381,2.68309630871998
0.75,3.43198223594447,2.65220919610541
0.85,3.52894370858121,2.74166511692908
0.95,3.53897727299756,2.41563673788638
1.05,3.74901797637895,2.40089559673035
1.15,3.79753353050607,2.16932934072328
1.25,3.86652648188208,1.98931877129834
1.35,3.53977581426032,1.65465401907341
1.45,3.12398073542065,1.75455652007545
1.55,3.19556627686914,1.59586610438068
1.65,3.3939779298569,1.59327691833843
1.75,3.36272173539283,1.89736588293736
1.85,3.16688460528046,1.91393294879875
1.95,2.95401257013048,1.68634182325317
2.05,2.89787978368017,1.66022623197186
2.15,3.15978201585739,1.5625477781238
2.25,3.38718531734327,1.35553844119126
2.35,3.32233932090303,1.25146515827601
2.45,3.24507065163054,0.9595433296207
2.55,3.04482730863214,0.894842332402198
2.65,3.27148623304127,0.879175023660211
2.75,3.38606660048499,0.831922327804259
2.85,3.28105068975696,0.780989816535018
2.95,3.19552502243915,0.567585445563073
3.05,3.2448054204956,0.58464413783716
3.15,3.25785187724878,0.480867557062716
3.25,3.2346341277354,0.595614171993452
3.35,3.51160737902927,0.653882646038847
3.45,3.57533561746388,0.586883775954907
3.55,3.2036512794243,0.367575442173903
3.65,2.77404665472747,0.127118194964828
3.75,2.33742891409461,0.0354896727099499
3.85,2.26161871286783,0.0195449482265097
3.95,2.02425660573162,-0.0553218120546856
