indice_aridez,ml_obs_1982_2000,ml_obs_2001_2022,esm_1982_2000,esm_2001_2022
0.025,2.78081654408473,-0.568759102292858,0.93475530132141,0.540962799023471
0.075,1.47240806031258,1.13195517647574,1.53214108834398,1.02001393217842
0.125,1.50540011773768,0.346819416695534,1.47318394900869,2.0418471824387
0.175,2.15481682385923,-0.399922658301156,1.36853776413501,3.1502715638835
0.225,2.04387356817769,-0.230241619537033,2.00067219857615,2.33945273001836
0.275,2.82001259540699,0.239252719162631,2.45671424397316,2.4440167685875
0.325,3.26359514741199,0.597135578376615,2.60230099882962,2.82987641792255
0.375,3.23111856835126,0.859490761103843,2.57342933176129,3.05355714229962
0.425,3.30424141575289,1.17605359698464,2.70880611231712,3.28863876988536
0.475,3.07106102969366,1.59762920008187,2.77860746059072,3.56634003316738
0.525,3.05033011887162,1.77802172394613,2.7322083875585,3.61985084075136
0.575,3.33244773195053,1.84494486568755,2.90094027985392,3.54748785087757
0.625,3.31510018726807,1.56691265761303,2.79572178677603,3.62965246059267
0.675,3.10230273115514,1.69396888459363,2.90215990636201,3.64729428620393
0.725,3.41341499590764,1.73523028901462,3.20693724342354,3.83217390055583
0.775,3.80597278374134,1.77371752694853,3.3679305208499,3.93042960416325
0.825,3.8450632949975,2.05847018391499,3.44567567057992,4.04515696294569
0.875,3.7465960271274,2.2239895171985,3.46936907120874,4.12210295881373
0.925,3.92296021752502,2.40017464707607,3.60536547693403,4.2220467759587
0.975,3.62340716432279,2.36213558016867,3.74698229344548,4.26682444836438
1.025,3.67306669380724,2.33129618752164,3.82448741247112,4.10694792840084
1.075,3.43784492827302,2.45071214938465,3.80691736190468,4.16949613002389
1.125,3.439408111982,2.7195973643067,3.75463277267998,4.11387316812248
1.175,3.53611840253545,2.62587086946712,3.64911808585024,3.98648176924083
1.225,3.56587931227301,2.86721083958211,3.86727382873686,3.97937882188206
1.275,3.65180803740591,2.61800287165611,4.31143799872176,3.96743327545907
1.325,3.42935792396297,2.74163160716705,4.20620355861646,4.0474420685912
1.375,3.3506148224209,2.63483304972925,4.27474415930449,4.09613932417749
1.425,3.19248027352372,2.57359571816937,4.13180192648574,4.03029652504774
1.475,3.02927412266573,2.59149934374059,4.08339984032093,4.00019098519018
1.525,3.09251466309702,2.74812376480272,4.24523169885446,4.05693185945278
1.575,3.04594658531705,2.74197506046797,4.32343933611549,4.13953688566324
1.625,3.21075218388931,2.71504112513612,4.4102432504257,4.15354874120475
1.675,3.12938297712088,2.67495669994331,4.49949089001681,4.05595973973556
1.725,2.85712642750156,2.69248218378244,4.53207010193348,4.05982740588126
1.775,2.94444527025107,2.84481729245399,4.64495173319465,4.04963156640199
1.825,2.83400962213051,3.12007689642547,4.73356642869534,3.98520485283321
1.875,2.38774263976615,3.16443770921694,4.43740337958698,3.84832682836857
1.925,2.20490832050837,3.24841374559659,4.28913608881972,3.7115180642252
1.975,2.00769334975393,3.11082871765362,4.44232564555586,3.59119850201111
2.025,1.94312362107037,3.09753207259075,4.47115467749617,3.59147876411602
2.075,1.8241200076191,3.23651423508054,4.49921920739357,3.62461212585801
2.125,1.79943524700886,3.16543650854154,4.47337027088619,3.63254193481866
2.175,1.73404351061719,3.02296338224498,4.37677568578662,3.5022049888548
