anio,co2_ppm,gpp_drylands_gC_m2_yr,et_drylands_mm_yr,ta_drylands_C,vpd_drylands_kPa,gpp_humid_gC_m2_yr,et_humid_mm_yr,ta_humid_C,vpd_humid_kPa
1982,340.86,647.0144065798316,387.5204111111111,18.8023410875356,1.35143563296226,1444.5868978127476,556.8564444444443,9.66507857593046,0.436634829583533
1983,342.53,644.7725219085895,385.561,19.1815406685906,1.39171857886647,1442.562657759324,557.8176777777777,10.2038165598492,0.458740319627994
1984,344.07,653.7174838427469,390.4888555555556,18.5887979503683,1.36280880316576,1437.5312906845604,552.4700333333335,9.67943128826392,0.441675563955197
1985,345.54,663.6702660900332,389.2305333333333,18.7353112921872,1.36652147487737,1457.5045029294204,556.112788888889,9.52686647939348,0.443044597241777
1986,346.97,676.2380612676689,391.29794444444445,18.9508888133264,1.38504358380223,1471.1669106323104,561.6239,9.852226082978,0.444285976273566
1987,348.68,657.6977530622031,390.55172222222217,19.1798736948546,1.41857886249977,1470.8318570462727,565.3889222222223,9.9750164140904,0.466602415819809
1988,351.16,676.1778268205242,396.339,19.2227595046921,1.40310891294221,1461.8488809709218,562.3194555555556,10.2697468418823,0.473341933818934
1989,352.79,677.8510213901105,391.89042222222224,18.970006667277,1.37358446444696,1487.2717696899601,565.1590222222222,10.0945503507276,0.458245023597561
1990,354.06,676.6008831697089,392.4374555555555,19.3864057396233,1.43023250666253,1507.952467730537,574.5357333333333,10.3107834004414,0.456628601890798
1991,355.4,670.0281960725206,386.9187222222222,19.171814364349,1.38865915006302,1474.38754091768,565.0707555555556,10.2417300231178,0.462702746004843
1992,356.09,662.0796066735813,388.6090444444444,18.8179027938074,1.35665110991317,1467.6743966342221,557.1784333333333,9.91510124717016,0.457899531781061
1993,356.83,682.0608056014943,402.1286333333333,18.8794718900863,1.37013644072295,1474.9637645569383,563.1241,9.96932286420936,0.446413424952376
1994,358.33,676.9096167111973,384.0873888888889,19.1165626854391,1.42683735328828,1486.3951626972948,565.9237555555555,10.106470151003,0.468026938524813
