membrana,zif62_ratio,zif8_ratio,tau3_ns,tau3_err,i3_pct,i3_err,r_angstrom,r_err,vf_nm3,vf_err,ffv_pct,ffv_err
ag(ZIF-62)1(ZIF-8)0,1.0,0.0,1.805,0.011,9.76,0.29,2.663,0.01,0.0791,0.0009,0.772,0.0258
ag(ZIF-62)0.9(ZIF-8)0.1,0.9,0.1,1.810,0.01,11.42,0.37,2.668,0.01,0.0795,0.0009,0.908,0.0329
ag(ZIF-62)0.8(ZIF-8)0.2,0.8,0.2,1.811,0.0085,12.12,0.52,2.669,0.008,0.0796,0.0007,0.965,0.0369
ag(ZIF-62)0.7(ZIF-8)0.3,0.7,0.3,1.828,0.0095,13.4,0.37,2.686,0.009,0.0811,0.0009,1.087,0.0315
ag(ZIF-62)0.6(ZIF-8)0.4,0.6,0.4,4.700,0.01,14.8,0.32,4.592,0.01,0.1848,0.0008,2.735,0.0256
