material,k_li_selectivity,na_li_selectivity,k_na_selectivity,driving_force
MXene-PDA,40,9,3,2.5 V
TpPa-SO3H,2.6,2.5,2.2,DC
UiO-67/AAO,1.42,2.02,0.7,DC
ZIF-8/GO,3,2,1.5,0.3 V
ZIF-8@MLDH,10.7,15.8,1.5,DC
MAP-PNG,20.8,1,20,-1 V/DC
rGO,14.08,4,3.52,DC
PET,1.5,1.26,1.19,10 V
MoS2,2.5,1.98,1.33,1.5 V
UIO-66/ZIF-8,85,80,1.1,1 V
ISGC (este trabajo),410.1,80.17,5.48,2 V/DC
