index,temperatura_c,tiempo_h,retencion_pct,cs_ratio,fa_ratio,aditivo,doi
1,40.0,700.0,90.0,0.01,0.9603,Yes,10.1038/s41560-024-01471-4
2,30.0,1000.0,98.0,0.05,0.931,Yes,10.1038/s41566-024-01468-1
3,40.0,1000.0,90.0,0.025,0.9,Yes,10.1016/j.joule.2024.05.005
4,25.0,1500.0,98.0,0.05,0.931,Yes,10.1126/science.abm8566
5,55.0,600.0,99.0,0.05,0.931,Yes,10.1038/s41586-024-07712-6
6,65.0,500.0,92.0,0.05,0.85,No,10.1038/s41566-022-00985-1
7,40.0,1142.0,90.0,0.05,0.85,No,10.1038/s41586-024-08159-5
8,50.0,1000.0,85.4,0.0,1.0,Yes,10.1126/science.adj8858
9,50.0,1000.0,94.0,0.05,0.85,Yes,10.1126/science.adj7081
10,55.0,1000.0,90.5,0.0,0.95,Yes,10.1126/science.abl5676
11,45.0,1271.0,95.6,0.05,0.95,Yes,10.1038/s41467-024-53283-5
12,85.0,500.0,85.0,0.05,0.85,No,10.1038/s41586-023-06892-x
13,40.0,1500.0,98.0,0.1,0.9,Yes,10.1126/sciadv.adq1150
14,65.0,1075.0,95.0,0.05,0.85,Yes,10.1038/s41586-023-06745-7
15,45.0,2000.0,90.0,0.05,0.9025,Yes,10.1126/science.adg3755
16,97.0,620.0,80.0,0.0,1.0,Yes,10.1126/science.adn9453
17,65.0,1200.0,90.0,0.05,0.85,Yes,10.1126/science.ade9637
18,55.0,1500.0,98.0,0.05,0.95,Yes,10.1038/s41560-023-01295-8
19,65.0,1200.0,94.0,0.04,0.9,Yes,10.1002/adma.202409340
20,75.0,1000.0,88.0,0.05,0.931,Yes,10.1126/science.add7331
21,65.0,1200.0,95.0,0.05,0.85,Yes,10.1126/science.adm9474
22,50.0,1800.0,97.4,0.02,0.98,Yes,10.1038/s41560-023-01288-7
23,80.0,1200.0,74.0,0.05,0.85,Yes,10.1126/science.ade9637
24,85.0,1000.0,80.0,0.05,0.85,No,10.1038/s41586-023-06610-7
25,45.0,2500.0,95.0,0.05,0.95,Yes,10.1038/s41467-024-49395-7
26,60.0,1800.0,97.8,0.05,0.85,Yes,10.1038/s41566-024-01542-8
27,100.0,1200.0,60.0,0.05,0.85,Yes,10.1126/science.ade9637
28,85.0,1130.0,90.0,0.05,0.9,Yes,10.1126/science.adr2091
29,40.0,3500.0,100.0,0.05,0.95,Yes,10.1126/science.ade3970
30,65.0,2000.0,92.0,0.05,0.931,Yes,10.1021/jacs.4c02220
31,50.0,3000.0,95.09,0.05,0.85,Yes,10.1016/j.joule.2024.05.005
32,65.0,2000.0,95.0,0.05,0.95,Yes,10.1126/science.adq8385
33,65.0,2000.0,95.0,0.05,0.9,Yes,10.1126/science.adm9474
34,85.0,1200.0,98.2,0.05,0.9025,Yes,10.1126/science.adj9602
35,70.0,2000.0,95.0,0.05,0.95,Yes,10.1038/s41467-024-53953-4
36,85.0,1560.0,85.0,0.05,0.9,Yes,10.1126/science.adi4107
37,65.0,2400.0,96.1,0.05,0.95,Yes,10.1038/s41586-024-07723-3
38,85.0,2000.0,100.0,0.05,0.79,No,10.1038/s41560-023-01377-7
39,50.0,8200.0,80.0,0.05,0.85,No,10.1038/s41586-023-06610-7
40,65.0,1100.0,95.0,0.3,0.6,Yes,10.1126/science.adf0194
41,55.0,1000.0,90.5,0.0,0.95,Yes,10.1126/science.abl5676
42,60.0,2000.0,99.0,0.05,0.855,No,10.1126/science.abq7652
43,25.0,1500.0,98.0,0.05,0.931,Yes,10.1126/science.abm8566
44,65.0,2000.0,96.0,0.05,0.9,Yes,10.1126/science.adk1633
45,40.0,1000.0,98.0,0.05,0.9025,Yes,10.1126/science.ade3126
46,85.0,1500.0,95.0,0.13,0.87,No,10.1126/science.ado2302
47,85.0,620.0,99.0,0.0,1.0,YES,10.1126/science.abq6993
48,25.0,1000.0,91.8,0.05,0.912,YES,10.1126/sciadv.adr2290
49,85.0,1000.0,82.8,0.0,1.0,YES,10.1126/science.adw8780
50,85.0,1100.0,99.0,0.0,1.0,YES,10.1126/science.ads8968
51,85.0,1200.0,96.0,0.0,1.0,No,10.1126/science.ado2351
