muestra,temperatura_k,dD_permil_vsmow,mil_ln_alfa
Hydrogen tank gas,,-149.8,
0.5 g MORB,1473.0,-50.0,105.4
0.8 g MORB,1562.0,-55.2,110.9
1 g MORB,1517.0,-56.3,104.2
0.5 g picrobasalt,1503.0,-55.0,105.7
0.8 g picrobasalt,1509.0,-75.7,83.4
1 g picrobasalt,1573.0,-76.0,83.1
