temperatura_c,horas,fase,punto,elemento,wt_pct
1200.0,1.0,vidrio_anhidro,1,Si,25.2683
1200.0,1.0,vidrio_anhidro,1,Mg,2.39875
1200.0,1.0,vidrio_anhidro,1,Ca,5.64133
1200.0,1.0,vidrio_anhidro,1,Al,7.01266
1200.0,1.0,vidrio_anhidro,1,Ti,1.61367
1200.0,1.0,vidrio_anhidro,1,Cr,0.0
1200.0,1.0,vidrio_anhidro,1,Na,2.02001
1200.0,1.0,vidrio_anhidro,1,K,0.60223
1200.0,1.0,vidrio_anhidro,1,Mn,0.180994
1200.0,1.0,vidrio_anhidro,1,Fe,10.642
1200.0,1.0,vidrio_anhidro,1,Ni,0.0
1200.0,1.0,vidrio_anhidro,1,P,0.208643
1200.0,1.0,vidrio_anhidro,1,S,0.098002
1200.0,1.0,vidrio_anhidro,1,O,44.1575
1200.0,1.0,vidrio_anhidro,1,W,0.085481
1200.0,1.0,vidrio_anhidro,1,TOTAL,99.9352
1200.0,1.0,vidrio_anhidro,2,Si,25.2807
1200.0,1.0,vidrio_anhidro,2,Mg,2.37154
1200.0,1.0,vidrio_anhidro,2,Ca,5.52608
1200.0,1.0,vidrio_anhidro,2,Al,6.94347
1200.0,1.0,vidrio_anhidro,2,Ti,1.5533
1200.0,1.0,vidrio_anhidro,2,Cr,0.009048
1200.0,1.0,vidrio_anhidro,2,Na,1.92314
1200.0,1.0,vidrio_anhidro,2,K,0.596927
1200.0,1.0,vidrio_anhidro,2,Mn,0.191163
1200.0,1.0,vidrio_anhidro,2,Fe,10.523
1200.0,1.0,vidrio_anhidro,2,Ni,0.0
1200.0,1.0,vidrio_anhidro,2,P,0.203468
1200.0,1.0,vidrio_anhidro,2,S,0.093876
1200.0,1.0,vidrio_anhidro,2,O,43.9783
1200.0,1.0,vidrio_anhidro,2,W,0.241187
1200.0,1.0,vidrio_anhidro,2,TOTAL,99.4416
1200.0,1.0,vidrio_anhidro,3,Si,24.9518
1200.0,1.0,vidrio_anhidro,3,Mg,2.25078
1200.0,1.0,vidrio_anhidro,3,Ca,5.5264
1200.0,1.0,vidrio_anhidro,3,Al,6.83762
1200.0,1.0,vidrio_anhidro,3,Ti,1.59224
1200.0,1.0,vidrio_anhidro,3,Cr,0.0
1200.0,1.0,vidrio_anhidro,3,Na,1.87545
1200.0,1.0,vidrio_anhidro,3,K,0.619572
1200.0,1.0,vidrio_anhidro,3,Mn,0.171374
1200.0,1.0,vidrio_anhidro,3,Fe,10.429
1200.0,1.0,vidrio_anhidro,3,Ni,0.0
1200.0,1.0,vidrio_anhidro,3,P,0.197344
1200.0,1.0,vidrio_anhidro,3,S,0.097811
1200.0,1.0,vidrio_anhidro,3,O,43.4776
1200.0,1.0,vidrio_anhidro,3,W,0.537966
1200.0,1.0,vidrio_anhidro,3,TOTAL,98.575
1200.0,1.0,silicato_tras_H2,1,Si,25.4852
1200.0,1.0,silicato_tras_H2,1,Mg,2.50468
1200.0,1.0,silicato_tras_H2,1,Ca,6.00829
1200.0,1.0,silicato_tras_H2,1,Al,7.11953
1200.0,1.0,silicato_tras_H2,1,Ti,1.71347
1200.0,1.0,silicato_tras_H2,1,Cr,0.0
1200.0,1.0,silicato_tras_H2,1,Na,1.99394
1200.0,1.0,silicato_tras_H2,1,K,0.562709
1200.0,1.0,silicato_tras_H2,1,Mn,0.186823
1200.0,1.0,silicato_tras_H2,1,Fe,9.428413082126685
1200.0,1.0,silicato_tras_H2,1,Ni,0.0
1200.0,1.0,silicato_tras_H2,1,P,0.192567
1200.0,1.0,silicato_tras_H2,1,S,0.080607
1200.0,1.0,silicato_tras_H2,1,O,44.4378
1200.0,1.0,silicato_tras_H2,1,W,0.235476
1200.0,1.0,silicato_tras_H2,1,TOTAL,99.9547
1200.0,1.0,silicato_tras_H2,2,Si,28.3201
1200.0,1.0,silicato_tras_H2,2,Mg,1.90615
1200.0,1.0,silicato_tras_H2,2,Ca,4.76944
1200.0,1.0,silicato_tras_H2,2,Al,7.44346
1200.0,1.0,silicato_tras_H2,2,Ti,1.37459
1200.0,1.0,silicato_tras_H2,2,Cr,0.0
1200.0,1.0,silicato_tras_H2,2,Na,1.20882
1200.0,1.0,silicato_tras_H2,2,K,0.840611
1200.0,1.0,silicato_tras_H2,2,Mn,0.150721
1200.0,1.0,silicato_tras_H2,2,Fe,6.762442913848047
1200.0,1.0,silicato_tras_H2,2,Ni,0.0
1200.0,1.0,silicato_tras_H2,2,P,0.137243
1200.0,1.0,silicato_tras_H2,2,S,0.003129
1200.0,1.0,silicato_tras_H2,2,O,45.7762
1200.0,1.0,silicato_tras_H2,2,W,0.227133
1200.0,1.0,silicato_tras_H2,2,TOTAL,98.9238
1200.0,1.0,silicato_tras_H2,3,Si,25.545
1200.0,1.0,silicato_tras_H2,3,Mg,2.6053
1200.0,1.0,silicato_tras_H2,3,Ca,6.14554
1200.0,1.0,silicato_tras_H2,3,Al,7.08848
1200.0,1.0,silicato_tras_H2,3,Ti,1.68627
1200.0,1.0,silicato_tras_H2,3,Cr,0.006955
1200.0,1.0,silicato_tras_H2,3,Na,2.08723
1200.0,1.0,silicato_tras_H2,3,K,0.563614
1200.0,1.0,silicato_tras_H2,3,Mn,0.229045
1200.0,1.0,silicato_tras_H2,3,Fe,8.996547123609325
1200.0,1.0,silicato_tras_H2,3,Ni,0.0
1200.0,1.0,silicato_tras_H2,3,P,0.183752
1200.0,1.0,silicato_tras_H2,3,S,0.070175
1200.0,1.0,silicato_tras_H2,3,O,44.4967
1200.0,1.0,silicato_tras_H2,3,W,0.245614
1200.0,1.0,silicato_tras_H2,3,TOTAL,99.9551
1200.0,1.0,metal,1,Si,0.0
1200.0,1.0,metal,1,Mg,0.0
1200.0,1.0,metal,1,Ca,0.11675
1200.0,1.0,metal,1,Al,0.0
1200.0,1.0,metal,1,Ti,0.059573
1200.0,1.0,metal,1,Cr,0.000417
1200.0,1.0,metal,1,Na,0.0
1200.0,1.0,metal,1,K,0.0
1200.0,1.0,metal,1,Mn,0.007016
1200.0,1.0,metal,1,Fe,88.2665
1200.0,1.0,metal,1,Ni,0.0
1200.0,1.0,metal,1,P,0.569136
1200.0,1.0,metal,1,S,0.036168
1200.0,1.0,metal,1,O,0.0
1200.0,1.0,metal,1,W,9.79464
1200.0,1.0,metal,1,TOTAL,98.8502
1200.0,1.0,metal,2,Si,0.0
1200.0,1.0,metal,2,Mg,0.0
1200.0,1.0,metal,2,Ca,0.099009
1200.0,1.0,metal,2,Al,0.0
1200.0,1.0,metal,2,Ti,0.02447
1200.0,1.0,metal,2,Cr,0.013601
1200.0,1.0,metal,2,Na,0.0
1200.0,1.0,metal,2,K,0.006401
1200.0,1.0,metal,2,Mn,0.011488
1200.0,1.0,metal,2,Fe,86.5046
1200.0,1.0,metal,2,Ni,0.0
1200.0,1.0,metal,2,P,0.897136
1200.0,1.0,metal,2,S,0.028664
1200.0,1.0,metal,2,O,0.0
1200.0,1.0,metal,2,W,11.0955
1200.0,1.0,metal,2,TOTAL,98.6808
1200.0,1.0,metal,3,Si,0.067307
1200.0,1.0,metal,3,Mg,0.0
1200.0,1.0,metal,3,Ca,0.234641
1200.0,1.0,metal,3,Al,0.0
1200.0,1.0,metal,3,Ti,0.127894
1200.0,1.0,metal,3,Cr,0.0
1200.0,1.0,metal,3,Na,0.0
1200.0,1.0,metal,3,K,0.0089
1200.0,1.0,metal,3,Mn,0.022419
1200.0,1.0,metal,3,Fe,83.2976
1200.0,1.0,metal,3,Ni,0.163951
1200.0,1.0,metal,3,P,0.162983
1200.0,1.0,metal,3,S,0.007861
1200.0,1.0,metal,3,O,0.0
1200.0,1.0,metal,3,W,12.6453
1200.0,1.0,metal,3,TOTAL,96.7388
1200.0,1.0,metal,4,Si,0.365074
1200.0,1.0,metal,4,Mg,0.013728
1200.0,1.0,metal,4,Ca,0.226332
1200.0,1.0,metal,4,Al,0.139172
1200.0,1.0,metal,4,Ti,0.157262
1200.0,1.0,metal,4,Cr,0.015936
1200.0,1.0,metal,4,Na,0.10442
1200.0,1.0,metal,4,K,0.033912
1200.0,1.0,metal,4,Mn,0.029798
1200.0,1.0,metal,4,Fe,94.6445
1200.0,1.0,metal,4,Ni,0.0
1200.0,1.0,metal,4,P,0.442841
1200.0,1.0,metal,4,S,0.015425
1200.0,1.0,metal,4,O,0.0
1200.0,1.0,metal,4,W,2.12324
1200.0,1.0,metal,4,TOTAL,98.3274
1200.0,1.0,metal,5,Si,0.02978
1200.0,1.0,metal,5,Mg,0.0
1200.0,1.0,metal,5,Ca,0.199131
1200.0,1.0,metal,5,Al,0.0
1200.0,1.0,metal,5,Ti,0.142182
1200.0,1.0,metal,5,Cr,0.009124
1200.0,1.0,metal,5,Na,0.0
1200.0,1.0,metal,5,K,0.023758
1200.0,1.0,metal,5,Mn,0.004899
1200.0,1.0,metal,5,Fe,90.5367
1200.0,1.0,metal,5,Ni,0.0
1200.0,1.0,metal,5,P,0.804902
1200.0,1.0,metal,5,S,0.016371
1200.0,1.0,metal,5,O,0.0
1200.0,1.0,metal,5,W,6.28366
1200.0,1.0,metal,5,TOTAL,98.0757
1200.0,3.0,vidrio_anhidro,1,Si,24.2813
1200.0,3.0,vidrio_anhidro,1,Mg,2.1196
1200.0,3.0,vidrio_anhidro,1,Ca,5.25842
1200.0,3.0,vidrio_anhidro,1,Al,6.63005
1200.0,3.0,vidrio_anhidro,1,Ti,1.47648
1200.0,3.0,vidrio_anhidro,1,Cr,0.0
1200.0,3.0,vidrio_anhidro,1,Na,1.89394
1200.0,3.0,vidrio_anhidro,1,K,0.603588
1200.0,3.0,vidrio_anhidro,1,Mn,0.166092
1200.0,3.0,vidrio_anhidro,1,Fe,9.744757421591101
1200.0,3.0,vidrio_anhidro,1,Ni,0.0
1200.0,3.0,vidrio_anhidro,1,P,0.179365
1200.0,3.0,vidrio_anhidro,1,S,0.07733
1200.0,3.0,vidrio_anhidro,1,O,42.5965
1200.0,3.0,vidrio_anhidro,1,W,2.67091
1200.0,3.0,vidrio_anhidro,1,TOTAL,97.7036
1200.0,3.0,vidrio_anhidro,2,Si,24.9699
1200.0,3.0,vidrio_anhidro,2,Mg,2.30623
1200.0,3.0,vidrio_anhidro,2,Ca,5.51758
1200.0,3.0,vidrio_anhidro,2,Al,6.81262
1200.0,3.0,vidrio_anhidro,2,Ti,1.59255
1200.0,3.0,vidrio_anhidro,2,Cr,0.0
1200.0,3.0,vidrio_anhidro,2,Na,1.86925
1200.0,3.0,vidrio_anhidro,2,K,0.60343
1200.0,3.0,vidrio_anhidro,2,Mn,0.196608
1200.0,3.0,vidrio_anhidro,2,Fe,10.523032861854977
1200.0,3.0,vidrio_anhidro,2,Ni,0.000199
1200.0,3.0,vidrio_anhidro,2,P,0.185428
1200.0,3.0,vidrio_anhidro,2,S,0.087539
1200.0,3.0,vidrio_anhidro,2,O,43.6055
1200.0,3.0,vidrio_anhidro,2,W,0.853247
1200.0,3.0,vidrio_anhidro,2,TOTAL,99.1348
1200.0,3.0,vidrio_anhidro,3,Si,24.7258
1200.0,3.0,vidrio_anhidro,3,Mg,2.26325
1200.0,3.0,vidrio_anhidro,3,Ca,5.42833
1200.0,3.0,vidrio_anhidro,3,Al,6.85927
1200.0,3.0,vidrio_anhidro,3,Ti,1.50139
1200.0,3.0,vidrio_anhidro,3,Cr,0.0
