years_to_recovery,mean_intensity,median_intensity,std_intensity,q25_intensity,q75_intensity,n_pixels
0,0.0872,0.0667,0.0762,0.028,0.1269,15989
1,-1.5255,-1.4683,0.7714,-2.0774,-0.9213,4299742
2,-1.8956,-1.8471,0.6645,-2.2943,-1.4824,2772566
3,-2.007,-2.0165,0.7191,-2.5053,-1.5074,1143835
4,-2.0329,-1.9751,0.8296,-2.6163,-1.4373,837159
5,-2.1697,-2.0903,0.6213,-2.5353,-1.7691,828546
6,-2.0596,-2.0488,0.5845,-2.3943,-1.7235,428103
7,-2.2786,-2.3032,0.5567,-2.6236,-1.9769,1610969
