lon,lat,persistence_years,intensity_esi
-72.1956,-0.2344,1.06,-0.956
-71.7605,-0.2344,1.02,-1.099
-71.3253,-0.2344,1.63,-1.701
-70.8902,-0.2344,4.67,-1.086
-70.455,-0.2344,7.0,-1.16
-70.0199,-0.2344,7.0,-1.26
-69.5848,-0.2344,7.0,-1.069
-69.1496,-0.2344,6.34,-0.955
-68.7145,-0.2344,4.51,-0.841
-68.2793,-0.2344,1.4,-0.885
-67.8442,-0.2344,1.0,-0.631
-67.409,-0.2344,1.0,-0.674
-66.9739,-0.2344,1.01,-0.564
-66.5388,-0.2344,1.0,-0.657
-66.1036,-0.2344,1.0,-0.877
-65.6685,-0.2344,1.02,-0.958
-65.2333,-0.2344,1.01,-0.451
-64.7982,-0.2344,1.0,-0.176
-64.363,-0.2344,1.02,-0.279
-63.9279,-0.2344,1.01,-0.384
-63.4927,-0.2344,1.02,-0.637
-63.0576,-0.2344,1.07,-0.483
-62.6225,-0.2344,0.94,-0.158
-62.1873,-0.2344,0.85,-0.248
-61.7522,-0.2344,1.05,-0.717
-61.317,-0.2344,1.55,-1.847
-60.8819,-0.2344,1.66,-2.259
-60.4467,-0.2344,1.71,-2.404
-60.0116,-0.2344,3.39,-2.437
-59.5764,-0.2344,4.21,-2.353
-59.1413,-0.2344,2.01,-2.164
-58.7062,-0.2344,1.0,-1.756
-58.271,-0.2344,1.0,-1.473
-57.8359,-0.2344,1.0,-1.228
-57.4007,-0.2344,1.0,-1.12
-56.9656,-0.2344,1.0,-0.869
-56.5304,-0.2344,1.0,-0.628
-56.0953,-0.2344,1.0,-0.302
-55.6602,-0.2344,1.0,-0.326
-55.225,-0.2344,1.0,-0.577
-54.7899,-0.2344,1.0,-0.93
-54.3547,-0.2344,1.0,-1.023
-53.9196,-0.2344,1.12,-1.407
-53.4844,-0.2344,1.97,-1.759
-53.0493,-0.2344,1.79,-1.864
-52.6141,-0.2344,1.78,-2.11
-52.179,-0.2344,1.76,-2.169
-51.7439,-0.2344,2.27,-1.958
-51.3087,-0.2344,2.74,-1.938
-50.8736,-0.2344,3.6,-2.063
-50.4384,-0.2344,2.27,-2.03
-50.0033,-0.2344,1.66,-2.119
-49.5681,-0.2344,2.55,-2.179
-49.133,-0.2344,1.92,-1.959
-48.6979,-0.2344,1.28,-1.674
-48.2627,-0.2344,1.41,-1.822
-72.1956,-0.6673,1.01,-0.698
-71.7605,-0.6673,1.0,-0.661
-71.3253,-0.6673,1.3,-1.223
-70.8902,-0.6673,5.61,-1.144
-70.455,-0.6673,7.0,-1.202
-70.0199,-0.6673,7.0,-1.333
-69.5848,-0.6673,6.87,-1.124
-69.1496,-0.6673,5.69,-0.985
-68.7145,-0.6673,2.25,-1.008
-68.2793,-0.6673,1.04,-0.865
-67.8442,-0.6673,1.0,-0.791
-67.409,-0.6673,1.0,-0.884
-66.9739,-0.6673,1.0,-0.933
-66.5388,-0.6673,1.0,-0.841
-66.1036,-0.6673,1.0,-0.747
-65.6685,-0.6673,1.0,-0.772
-65.2333,-0.6673,1.0,-0.481
-64.7982,-0.6673,0.99,-0.199
-64.363,-0.6673,1.0,-0.341
-63.9279,-0.6673,1.0,-0.681
-63.4927,-0.6673,1.0,-0.491
-63.0576,-0.6673,1.05,-0.347
-62.6225,-0.6673,1.07,-0.228
-62.1873,-0.6673,0.97,-0.153
-61.7522,-0.6673,0.77,-0.329
-61.317,-0.6673,1.19,-1.505
-60.8819,-0.6673,1.12,-1.773
-60.4467,-0.6673,1.83,-1.869
-60.0116,-0.6673,5.46,-2.008
-59.5764,-0.6673,5.45,-2.292
-59.1413,-0.6673,2.11,-2.097
-58.7062,-0.6673,1.0,-1.569
-58.271,-0.6673,1.0,-0.951
-57.8359,-0.6673,1.0,-0.729
-57.4007,-0.6673,1.0,-0.552
-56.9656,-0.6673,1.0,-0.513
-56.5304,-0.6673,0.99,-0.488
-56.0953,-0.6673,1.0,-0.479
-55.6602,-0.6673,1.0,-0.415
-55.225,-0.6673,1.0,-0.587
-54.7899,-0.6673,1.0,-0.85
-54.3547,-0.6673,1.0,-0.831
-53.9196,-0.6673,1.0,-1.073
-53.4844,-0.6673,1.01,-1.791
-53.0493,-0.6673,1.09,-2.124
-52.6141,-0.6673,1.97,-2.239
-52.179,-0.6673,2.38,-2.405
-51.7439,-0.6673,2.29,-2.233
-51.3087,-0.6673,2.23,-2.174
-50.8736,-0.6673,2.6,-1.973
-50.4384,-0.6673,2.32,-1.728
-50.0033,-0.6673,2.77,-2.099
-49.5681,-0.6673,3.13,-2.672
-49.133,-0.6673,3.01,-2.584
-48.6979,-0.6673,2.39,-2.255
-48.2627,-0.6673,2.64,-2.297
-47.8276,-0.6673,2.99,-2.209
-47.3924,-0.6673,2.5,-1.86
-46.9573,-0.6673,3.23,-1.677
-46.5221,-0.6673,2.59,-1.663
-46.087,-0.6673,2.36,-1.965
-72.1956,-1.1002,0.97,-0.367
-71.7605,-1.1002,1.01,-0.675
-71.3253,-1.1002,1.17,-0.964
-70.8902,-1.1002,5.05,-1.252
-70.455,-1.1002,7.0,-1.325
-70.0199,-1.1002,7.0,-1.381
-69.5848,-1.1002,6.93,-1.221
-69.1496,-1.1002,4.81,-1.112
-68.7145,-1.1002,1.06,-1.29
-68.2793,-1.1002,1.0,-1.478
-67.8442,-1.1002,1.0,-1.112
-67.409,-1.1002,1.0,-0.896
-66.9739,-1.1002,1.0,-0.827
-66.5388,-1.1002,1.0,-0.925
-66.1036,-1.1002,1.0,-0.964
-65.6685,-1.1002,1.0,-1.13
-65.2333,-1.1002,1.0,-0.888
-64.7982,-1.1002,1.0,-0.585
-64.363,-1.1002,1.0,-0.793
-63.9279,-1.1002,1.0,-0.504
-63.4927,-1.1002,1.0,-0.247
-63.0576,-1.1002,1.01,-0.333
-62.6225,-1.1002,1.0,-0.3
-62.1873,-1.1002,0.98,-0.543
-61.7522,-1.1002,0.92,-0.464
-61.317,-1.1002,1.12,-1.207
