bin_low,bin_high,bin_center,n_pixels,pct_area
-6.0,-5.5,-5.75,5,0.0
-5.5,-5.0,-5.25,4,0.0
-5.0,-4.5,-4.75,84,0.001
-4.5,-4.0,-4.25,3189,0.027
-4.0,-3.5,-3.75,138416,1.16
-3.5,-3.0,-3.25,714861,5.989
-3.0,-2.5,-2.75,1520912,12.741
-2.5,-2.0,-2.25,2789604,23.37
-2.0,-1.5,-1.75,3015859,25.265
-1.5,-1.0,-1.25,1973851,16.536
-1.0,-0.5,-0.75,1322816,11.082
-0.5,0.0,-0.25,441319,3.697
0.0,0.5,0.25,15980,0.134
0.5,1.0,0.75,9,0.0
