grupo,dias_supervivencia
Sham,17.0
Sham,21.0
Sham,22.0
Sham,24.0
Sham,24.0
Sham,25.0
Sham,26.0
Sham,27.0
Sham,29.0
Sham,30.0
Sham,30.0
Sham,33.0
Sham,50.0
Cas,16.0
Cas,17.0
Cas,19.0
Cas,19.0
Cas,19.0
Cas,20.0
Cas,20.0
Cas,20.0
Cas,20.0
Cas,21.0
Cas,21.0
Cas,24.0
Cas,27.0
Cas,36.0
