modelo,parametros_k,es_phrm
PHRM,498,1
TS-CAN,533,0
ME-rPPG,605,0
PhysMamba,759,0
PhysNet,770,0
EfficientPhys,2188,0
RhythmMamba,4936,0
PhysFormer,7395,0
