actividad,us_adults_pct,full_dataset_pct,after_gating_pct
in_vehicle,10.5,4.1,4.3
on_bicycle,0.2,0.0,0.0
still,81.8,79.7,84.3
walking,7.3,16.0,11.2
running,0.1,0.3,0.1
