dispositivo,anio,memoria_mb,latencia_ms
Pixel 3,2018,72.00,402.81
Pixel 4,2019,82.05,259.21
Pixel 5,2020,81.67,281.76
Pixel 6,2021,81.93,146.12
Pixel 7,2022,81.46,133.63
