lon,lat,density,wmo_class,baseline,tile_area_km2,density_delta,density_percent,continent
-38.83698271,,0,1,0.00173913,9600.554433,0.00173913,100.0,South America
-38.83698271,,0,1,0.00173913,9600.554433,0.00173913,100.0,South America
-38.83698271,,0,6,0.066666667,9600.554433,0.066666667,100.0,South America
-38.83698271,,0,1,0.00173913,9600.554433,0.00173913,100.0,South America
-38.83698271,,0,1,0.00173913,9600.554433,0.00173913,100.0,South America
143.5,-38.83698271,16,2,0.00173913,9600.554433,7.26e-05,4.17220105,Oceania
-38.83698271,,0,3,0.004,9600.554433,0.004,100.0,Oceania
-38.83698271,,0,3,0.004,9600.554433,0.004,100.0,Oceania
-38.83698271,,0,3,0.004,9600.554433,0.004,100.0,Oceania
-73.5,-37.83698271,3,3,0.004,9733.433641,0.003691784,92.29459996,South America
-72.5,-37.83698271,18,3,0.004,9733.433641,0.002150704,53.76759974,South America
-71.5,-37.83698271,4,3,0.004,9733.433641,0.003589045,89.72613327,South America
-37.83698271,,0,3,0.004,9733.433641,0.004,100.0,South America
-37.83698271,,0,3,0.004,9733.433641,0.004,100.0,South America
-37.83698271,,0,2,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,2,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,1,0.00173913,9733.433641,0.00173913,100.0,South America
-37.83698271,,0,6,0.066666667,9733.433641,0.066666667,100.0,South America
140.5,-37.83698271,16,1,0.00173913,9733.433641,9.53e-05,5.48042613,Oceania
141.5,-37.83698271,25,2,0.00173913,9733.433641,-0.000829336,-47.68683417,Oceania
142.5,-37.83698271,27,1,0.00173913,9733.433641,-0.001034814,-59.50178091,Oceania
143.5,-37.83698271,37,1,0.00173913,9733.433641,-0.0020622,-118.5765146,Oceania
144.5,-37.83698271,67,6,0.066666667,9733.433641,0.059783176,89.67476394,Oceania
145.5,-37.83698271,97,6,0.066666667,9733.433641,0.056701016,85.05152392,Oceania
146.5,-37.83698271,33,3,0.004,9733.433641,0.000609624,15.24059952,Oceania
147.5,-37.83698271,31,3,0.004,9733.433641,0.000815101,20.37753288,Oceania
-37.83698271,,0,3,0.004,9733.433641,0.004,100.0,Oceania
-37.83698271,,0,3,0.004,9733.433641,0.004,100.0,Oceania
-72.5,-36.83698271,12,3,0.004,9863.338033,0.002783373,69.58433352,South America
-71.5,-36.83698271,12,3,0.004,9863.338033,0.002783373,69.58433352,South America
-36.83698271,,0,3,0.004,9863.338033,0.004,100.0,South America
