reservorio,volumen_km3,pct_agua_dulce_liquida,pct_agua_dulce_superficial,notas
Toda agua dulce líquida,23594,100,,Ref. 1
Agua dulce superficial líquida,194,,100,"Ref. 1, <1% del total"
Ríos,2,,1.0,"Ref. 1, ~1% de superficial"
