orden,fecha_hora_utc,lat_grados,lon_grados,mb_usgs,tipo
1,2006-10-09 01:35:28,41.294,129.094,4.3,explosion
2,2009-05-25 00:54:43,41.303,129.037,4.7,explosion
3,2013-02-12 02:57:51,41.299,129.004,5.1,explosion
4,2016-01-06 01:30:01,41.2996,129.0467,5.1,explosion
5,2016-09-09 00:30:01,41.2869,129.0783,5.3,explosion
6,2017-09-03 03:30:01,41.3324,129.0297,6.3,explosion
6c,2017-09-03 03:38:31,41.334,129.031,4.1,colapso_cavidad
