evento_id,fecha_hora_utc,lat_grados,lon_grados,profundidad_km,magnitud_ml
1,2008-07-08 20:08:12,41.0192,128.7055,2.9,2.3
2,2008-09-01 08:28:37,41.5127,129.587,-2.1,2.1
3,2009-01-22 09:22:57,40.899,129.1787,-2.1,1.8
4,2010-03-31 06:07:56,41.1165,129.4773,-2.1,1.7
5,2010-06-22 04:53:58,41.59,129.5735,5.2,1.9
6,2010-07-22 09:29:59,41.6088,129.5202,-2.1,1.5
7,2010-08-02 18:12:04,41.1548,129.5733,6.0,1.7
8,2012-12-31 10:53:04,40.9803,128.6207,3.0,1.5
9,2013-05-27 15:10:14,41.1327,129.096,-2.1,1.0
10,2013-05-27 15:18:47,41.5017,128.9717,-2.1,1.0
11,2013-05-28 16:29:50,41.2055,129.0737,-2.0,0.9
12,2013-05-29 13:53:08,41.2237,129.1857,-1.2,1.5
13,2013-05-29 19:47:35,41.2435,129.1435,-2.1,1.3
14,2013-06-20 12:11:20,41.41,128.9108,-2.1,1.3
15,2013-07-19 13:23:54,41.4862,128.9377,-2.1,1.4
16,2013-07-19 17:50:09,41.233,129.0628,-2.1,1.1
17,2013-07-19 18:06:04,41.1287,129.1455,-2.1,1.0
18,2013-07-19 20:07:01,41.1955,129.0583,-2.1,1.0
19,2013-07-22 15:50:19,41.3923,128.9982,-2.1,1.2
20,2013-09-13 07:46:40,41.5117,129.699,6.0,1.7
21,2013-09-28 16:53:26,41.5003,128.943,-2.1,0.6
22,2013-09-28 17:08:58,41.3272,129.159,6.0,0.6
23,2013-09-28 17:10:31,41.319,129.0893,2.0,1.1
24,2013-09-28 17:15:16,41.3927,129.0193,5.9,0.9
25,2013-09-28 17:21:48,41.424,129.0538,-2.1,0.9
26,2013-09-28 17:27:42,41.3658,129.1522,6.0,0.7
27,2013-09-28 17:36:07,41.5205,128.9968,-2.1,0.6
28,2013-09-28 19:07:31,41.4357,128.9782,-2.1,0.9
29,2013-09-28 19:15:46,41.4217,129.1022,-2.1,1.1
30,2013-09-28 19:25:02,41.4303,129.019,5.9,0.9
31,2013-10-05 06:55:59,41.7408,128.7152,-0.4,1.5
32,2014-05-25 05:16:34,41.3965,129.0318,-2.1,1.2
33,2016-01-10 16:30:16,41.2838,129.0382,-2.1,1.1
34,2016-02-03 04:16:28,41.3252,128.9458,6.0,1.1
35,2016-02-11 20:31:49,41.3378,129.0255,-2.1,1.0
36,2016-02-16 18:02:24,41.0127,129.1632,0.6,1.0
37,2016-02-17 01:55:45,41.3203,129.0527,-2.1,1.1
38,2016-02-17 09:19:56,41.118,129.0917,0.5,1.1
39,2016-02-17 10:48:45,41.433,129.0377,-2.1,1.2
40,2016-02-17 10:50:30,41.3053,129.0108,-2.1,1.0
41,2016-02-17 17:47:04,41.2868,129.03,-2.1,1.1
42,2016-02-19 00:20:52,41.2795,129.0448,-2.1,1.0
43,2016-02-19 00:28:09,41.3058,129.0247,-2.1,1.6
44,2016-02-19 00:37:24,41.1333,129.0863,4.0,1.4
45,2016-02-19 00:49:25,40.9812,129.173,-1.1,1.4
46,2016-02-19 02:37:16,41.2922,129.0363,-2.1,1.4
47,2016-04-27 06:12:23,41.2592,128.9825,5.9,1.4
48,2016-07-02 15:40:09,41.2977,129.0365,-2.1,1.4
49,2016-07-02 19:52:29,41.329,129.0675,-2.1,1.8
