evento_id,fecha_hora_utc,lat_grados,lon_grados,profundidad_km,magnitud_ml
145,2018-02-07 22:39:38,41.2882,129.0719,-1.4,1.2
146,2018-02-08 01:00:23,41.3292,129.0505,-1.4,1.5
147,2018-02-08 13:45:20,41.2658,129.082,-1.0,0.9
148,2018-02-08 17:39:18,41.2861,129.0719,-1.6,1.9
149,2018-02-09 00:49:36,41.277,129.0753,-1.4,1.4
150,2018-02-09 23:44:25,41.3393,129.0434,-1.7,1.2
151,2018-02-10 00:02:48,41.3279,129.0483,-1.2,1.2
152,2018-02-22 23:34:14,41.3728,129.0336,-1.1,1.1
153,2018-02-23 00:32:06,41.384,129.03,-0.9,1.0
154,2018-03-03 18:24:20,41.3302,129.0498,-1.3,1.0
155,2018-03-07 22:02:27,41.3243,129.0639,-0.7,1.0
156,2018-04-24 16:24:58,41.3299,129.0546,-1.4,0.7
157,2018-05-12 19:34:02,41.3942,129.0029,-1.4,1.0
158,2018-06-03 11:51:05,41.4216,129.0568,-1.5,1.1
159,2018-06-10 15:53:06,41.4152,129.058,-1.5,1.3
161,2018-09-05 06:06:26,41.4801,129.1352,-1.6,1.4
163,2018-11-01 15:08:37,41.4384,129.162,4.8,1.0
167,2019-01-11 21:25:56,41.5982,128.9712,-1.9,1.0
169,2019-01-11 21:29:00,41.6147,128.9579,-1.9,1.4
170,2019-01-11 21:31:52,41.4191,129.057,4.1,1.0
172,2019-01-11 23:07:44,41.5971,128.9663,-1.2,1.1
173,2019-01-11 23:15:49,41.5976,128.9673,-1.9,2.0
174,2019-01-11 23:19:27,41.6004,128.9671,-0.8,1.4
180,2019-02-21 11:32:26,41.3765,129.0254,-1.8,1.0
182,2019-03-10 01:43:45,41.3311,129.1281,-1.4,1.6
183,2019-03-10 19:50:06,41.3251,129.1064,-1.2,1.0
186,2019-03-19 15:25:03,41.4277,129.0932,-1.7,1.3
188,2019-03-20 19:54:47,41.365,129.1187,-1.4,1.5
189,2019-03-21 01:55:36,41.2917,129.1441,-1.9,2.3
190,2019-03-21 02:42:00,41.4533,129.0624,-1.5,1.6
191,2019-03-21 10:45:42,41.3914,129.1005,-1.9,1.8
192,2019-03-21 21:16:22,41.3932,129.1012,-1.9,1.1
193,2019-03-27 00:04:03,41.4201,129.0822,-1.5,1.2
195,2019-04-01 21:03:06,41.4471,129.064,-0.7,1.3
196,2019-04-02 04:12:31,41.4576,129.0542,-1.5,1.3
197,2019-04-06 12:53:55,41.413,129.0017,-1.2,1.0
198,2019-04-27 22:37:18,41.3434,129.0494,-1.1,1.3
199,2019-05-04 14:32:09,41.5445,128.8559,-1.5,1.0
200,2019-05-06 15:08:10,41.3817,129.0732,-1.8,0.9
202,2019-06-03 06:22:21,41.5306,128.8721,0.9,1.1
203,2019-06-03 17:13:06,41.2889,129.0845,-1.0,0.7
204,2019-06-03 19:52:59,41.4195,129.0101,-1.9,0.7
205,2019-06-05 11:49:50,41.3793,129.0286,-1.6,1.0
207,2019-06-07 03:48:05,41.4114,129.0138,-1.9,1.6
208,2019-06-07 03:48:59,41.4534,128.9765,-0.5,1.8
209,2019-06-07 03:49:34,41.3897,129.0219,-1.6,1.9
210,2019-06-07 03:52:10,41.3781,129.0244,-1.4,1.5
211,2019-06-07 05:18:41,41.3322,129.0521,-1.8,2.4
212,2019-06-07 07:45:45,41.3948,129.0089,-1.4,1.9
213,2019-06-07 13:22:03,41.4153,129.0086,-1.7,1.3
214,2019-06-07 15:26:42,41.3691,129.0285,-1.0,1.2
215,2019-06-07 16:12:01,41.3689,129.0378,-1.2,1.0
216,2019-06-14 02:19:19,41.1643,129.1041,-1.8,1.1
217,2019-06-22 14:48:47,41.3986,128.9913,-1.5,1.0
218,2019-06-24 12:22:24,41.3942,129.1268,-1.4,1.5
220,2019-07-08 16:10:28,41.2949,128.9992,4.6,0.9
221,2019-07-09 11:55:10,41.2994,129.0656,-1.9,1.0
222,2019-08-01 11:39:21,41.4628,129.0497,-1.3,1.4
223,2019-08-06 04:05:36,41.4188,129.0223,-1.9,1.8
224,2019-08-06 04:27:20,41.3885,129.0516,-1.6,1.5
225,2019-08-06 18:33:43,41.3123,129.0576,-1.8,1.1
227,2019-08-10 17:28:51,41.5745,128.9688,-0.1,1.1
228,2019-08-21 03:32:28,41.3484,129.0394,-1.9,1.4
229,2019-08-21 03:36:53,41.259,129.1888,-0.2,1.9
230,2019-08-21 11:00:27,41.29,129.0761,-1.2,1.5
231,2019-08-21 18:27:05,41.4138,129.0045,-1.7,1.4
233,2019-09-09 01:15:30,41.4512,129.034,-1.5,1.7
235,2019-09-14 02:29:43,41.583,128.9595,-1.4,1.7
236,2019-09-27 19:01:35,41.3656,129.0559,-1.7,1.6
238,2019-10-07 18:58:57,41.4339,129.0737,-1.5,1.1
240,2019-10-17 01:52:32,41.3595,129.1153,-1.7,1.8
241,2019-10-23 17:38:30,41.4729,129.0394,-0.2,1.4
242,2019-10-24 23:17:11,41.3756,129.0203,-1.5,1.4
244,2019-10-31 19:57:47,41.63,128.9617,0.2,1.4
246,2019-11-06 14:45:41,41.3691,129.0843,-1.9,1.4
247,2019-11-06 23:51:37,41.3723,129.0235,-1.9,2.1
249,2019-11-12 12:58:57,41.3685,129.037,-1.2,1.5
250,2019-11-15 19:48:49,41.3941,129.0269,-1.2,1.1
251,2019-11-19 21:58:09,41.4576,129.0596,4.0,1.3
252,2019-11-19 21:59:46,41.2663,129.088,-1.9,1.5
253,2019-11-19 22:02:33,41.3724,129.0257,-1.6,1.7
254,2019-11-19 22:49:41,41.3949,129.0099,-1.2,1.6
256,2019-11-23 14:44:55,41.4032,129.0722,-1.8,1.3
257,2019-11-24 00:57:30,41.4053,129.0556,-1.4,1.3
258,2019-12-01 12:36:14,41.3225,129.1259,-1.9,1.4
259,2019-12-03 13:53:50,41.2835,129.0816,-1.2,1.1
260,2019-12-03 17:08:30,41.3269,129.0578,-1.9,1.1
261,2019-12-03 17:11:45,41.414,128.9789,-0.0,1.1
263,2019-12-10 19:13:16,41.4046,129.0706,-1.9,1.0
266,2019-12-11 22:23:20,41.3755,129.0928,-1.8,1.3
267,2019-12-19 18:59:05,41.4447,129.009,-0.3,1.3
268,2019-12-24 08:49:37,41.3916,129.1041,-1.9,1.5
270,2019-12-25 11:44:12,41.2883,129.0716,-1.6,1.1
271,2019-12-25 11:54:05,41.3905,129.0199,-1.6,1.1
272,2020-01-03 14:03:19,41.3946,129.0107,-1.4,1.2
273,2020-01-05 17:39:58,41.3615,129.0396,-1.7,1.2
274,2020-01-08 20:21:58,41.3316,129.1613,-1.2,1.4
280,2020-01-28 15:41:34,41.4244,129.0649,-1.4,1.2
281,2020-01-28 16:28:24,41.5152,129.0815,3.0,1.2
282,2020-01-28 16:51:34,41.4608,129.082,-1.6,1.1
284,2020-01-29 00:33:48,41.2963,129.0867,-1.6,2.4
285,2020-01-29 01:34:51,41.4024,129.0092,-1.5,2.0
286,2020-01-29 02:24:54,41.3703,129.0627,-1.2,1.7
287,2020-01-29 02:48:31,41.4065,129.0689,-1.6,1.9
288,2020-01-29 04:09:03,41.4764,129.0357,4.7,1.4
289,2020-01-29 13:18:48,41.5886,128.9798,4.8,1.5
290,2020-01-30 00:50:03,41.4061,129.0664,-1.6,1.9
291,2020-02-01 22:32:53,41.5157,129.0867,3.4,1.4
292,2020-02-02 00:34:45,41.3262,129.0515,-1.0,1.2
295,2020-02-02 16:32:55,41.4186,129.0652,-1.9,1.1
296,2020-02-04 19:59:24,41.4383,129.0551,2.5,1.3
297,2020-02-05 17:26:48,41.3322,129.0677,-1.4,1.4
299,2020-02-10 00:19:06,41.3222,129.1823,-1.2,1.4
305,2020-02-15 17:05:07,41.2586,129.0913,-1.9,1.4
306,2020-02-15 20:20:38,41.1287,129.153,-1.7,1.1
307,2020-02-15 21:17:50,41.3287,129.0559,-1.3,1.0
311,2020-02-15 21:29:38,41.473,129.0583,4.0,1.1
312,2020-02-15 22:32:16,41.3228,129.0631,-1.4,1.3
314,2020-02-16 00:14:31,41.4686,129.066,4.3,1.3
316,2020-02-18 12:50:42,41.3124,129.1628,-1.6,1.7
317,2020-02-23 05:08:19,41.4345,129.0755,-1.8,1.3
318,2020-02-23 22:49:12,41.448,129.139,3.2,1.3
322,2020-02-24 20:20:11,41.3492,129.0499,-1.2,0.9
323,2020-03-01 17:58:23,41.4285,129.0776,-1.9,1.0
