especie,grupo,cpp_sinciput,female_body_mass_g
Saguinus oedipus,Platyrrhini,2.804256754,404.0
Galago moholi,Strepsirrhini,2.409598029,173.0
Saimiri sciureus,Platyrrhini,2.394962953,666.14
Callithrix jacchus,Platyrrhini,1.882919361,326.19
Callimico goeldii,Platyrrhini,1.514390758,468.0
Galago senegalensis,Strepsirrhini,1.475811734,205.04
Microcebus murinus,Strepsirrhini,1.348618138,66.89
Sapajus apella,Platyrrhini,1.085853487,2520.0
Theropithecus gelada,Cercopithecoidea,1.051419626,11700.0
Lagothrix lagothricha,Platyrrhini,1.038927762,7057.25
Erythrocebus patas,Cercopithecoidea,1.023837091,6500.0
Trachypithecus obscurus,Cercopithecoidea,1.019785282,6260.0
Homo sapiens,Hominoidea,1.0,54425.0
Aotus trivirgatus,Platyrrhini,0.995074596,736.0
Mandrillus sphinx,Cercopithecoidea,0.957955013,12900.0
Macaca mulatta,Cercopithecoidea,0.877896587,7965.14
Papio anubis,Cercopithecoidea,0.859060739,12929.13
Hylobates lar,Hominoidea,0.811959108,5340.0
Ateles geoffroyi,Platyrrhini,0.806924278,7290.0
Lemur catta,Strepsirrhini,0.796424476,2210.0
Nasalis larvatus,Cercopithecoidea,0.771784012,9820.0
Eulemur fulvus,Strepsirrhini,0.745150978,2250.0
Varecia variegata,Strepsirrhini,0.719318796,3511.25
Papio hamadryas,Cercopithecoidea,0.702839168,10275.0
Colobus guereza,Cercopithecoidea,0.675260388,8199.0
Symphalangus syndactylus,Hominoidea,0.5329778,10700.0
Pongo pygmaeus,Hominoidea,0.491068569,35723.81
Pan troglodytes,Hominoidea,0.459957211,35884.85
Gorilla gorilla,Hominoidea,0.407468786,71500.0
