Plot_ID,PREX,Latitude,Longitude,Elevation,Treatment,Treatment2,Regeneration_year
CA59,,0.55730998,-79.179868,165,active cacao,active,
CA60,,0.510266,-79.2272,440,active cacao,active,
CA61,,0.53400099,-79.18769603,324,active cacao,active,
CA62,PREX,0.511049,-79.212168,372,active cacao,active,
CA63,PREX,0.54401822,-79.14532595,240,active cacao,active,
CA64,PREX,0.54348119,-79.15456,256,active cacao,active,
CR01,,0.49654763,-79.17820655,560,cacao regeneration,regeneration early,2017.0
CR02,PREX,0.50150484,-79.22593494,400,cacao regeneration,regeneration early,2015.0
CR03,,0.50821205,-79.23688265,274,cacao regeneration,regeneration early,2018.0
CR04,PREX,0.51167917,-79.18947658,560,cacao regeneration,regeneration late,2002.0
CR05,PREX,0.51178371,-79.20359237,377,cacao regeneration,regeneration early,2011.0
CR06,PREX,0.5206616,-79.21083174,397,cacao regeneration,regeneration late,1990.0
CR07,,0.45898553,-79.20876011,168,cacao regeneration,regeneration late,2000.0
CR08,,0.4592528,-79.21039418,172,cacao regeneration,regeneration late,1996.0
CR09,PREX,0.47247446,-79.229619,159,cacao regeneration,regeneration early,2017.0
CR10,PREX,0.4771745,-79.1995872,347,cacao regeneration,regeneration late,1999.0
CR11,PREX,0.47789256,-79.20507128,372,cacao regeneration,regeneration late,2000.0
CR12,,0.48018456,-79.21406337,324,cacao regeneration,regeneration late,2008.0
CR13,PREX,0.48892263,-79.22616164,366,cacao regeneration,regeneration early,2022.0
CR14,PREX,0.49816025,-79.13850116,529,cacao regeneration,regeneration late,1985.0
CR15,,0.504488312,-79.15719613,400,cacao regeneration,regeneration early,2015.0
CR16,,0.51074639,-79.14442928,479,cacao regeneration,regeneration early,2015.0
CR17,,0.51478038,-79.14413909,450,cacao regeneration,regeneration early,2014.0
CR18,,0.53991814,-79.14419755,331,cacao regeneration,regeneration early,2013.0
OG28,,0.46440563,-79.21261431,224,old-growth forest,old-growth forest,
OG37,,0.49819185,-79.17924819,550,old-growth forest,old-growth forest,
OG38,PREX,0.51305713,-79.19321874,535,old-growth forest,old-growth forest,
OG39,PREX,0.52155163,-79.19538539,576,old-growth forest,old-growth forest,
OG40,,0.52772307,-79.1724196,531,old-growth forest,old-growth forest,
OG41,PREX,0.52981297,-79.18850563,389,old-growth forest,old-growth forest,
OG42,PREX,0.53843029,-79.17462078,356,old-growth forest,old-growth forest,
OG43,,0.46447835,-79.21007388,238,old-growth forest,old-growth forest,
OG44,,0.47434948,-79.19810902,339,old-growth forest,old-growth forest,
OG45,PREX,0.47786124,-79.20347555,362,old-growth forest,old-growth forest,
OG46,PREX,0.47797846,-79.19469459,288,old-growth forest,old-growth forest,
OG47,,0.48465799,-79.21398287,355,old-growth forest,old-growth forest,
OG48,,0.53088989,-79.14462944,299,old-growth forest,old-growth forest,
OG49,PREX,0.5315347,-79.14780642,310,old-growth forest,old-growth forest,
OG50,,0.53403036,-79.14419137,316,old-growth forest,old-growth forest,
OG51,,0.55223173,-79.1374752,228,old-growth forest,old-growth forest,
OG52,PREX,0.54567888,-79.13756064,225,old-growth forest,old-growth forest,
PA53,,0.49585202,-79.20737699,510,active pasture,active,
PA54,PREX,0.53626858,-79.18830126,207,active pasture,active,
PA55,PREX,0.4976111,-79.22452241,426,active pasture,active,
PA56,,0.511023,-79.228523,430,active pasture,active,
PA57,PREX,0.51139197,-79.20887752,375,active pasture,active,
PA58,,0.543056,-79.153322,243,active pasture,active,
PR19,PREX,0.55271929,-79.17482117,177,pasture regeneration,regeneration early,2017.0
PR20,,0.49670321,-79.1716609,540,pasture regeneration,regeneration early,2019.0
PR21,PREX,0.50802424,-79.18995397,560,pasture regeneration,regeneration late,1987.0
PR22,PREX,0.50939341,-79.20450746,400,pasture regeneration,regeneration early,2011.0
PR23,PREX,0.5107801,-79.23206464,415,pasture regeneration,regeneration early,2022.0
PR24,,0.52082042,-79.21365335,381,pasture regeneration,regeneration late,2002.0
PR25,,0.49555762,-79.17642012,544,pasture regeneration,regeneration early,2017.0
PR26,PREX,0.52646596,-79.20464664,325,pasture regeneration,regeneration late,1995.0
PR27,,0.46185094,-79.2093188,214,pasture regeneration,regeneration late,1996.0
PR29,,0.47292046,-79.23064005,173,pasture regeneration,regeneration early,2017.0
PR30,,0.47500835,-79.22913433,219,pasture regeneration,regeneration late,2008.0
PR31,PREX,0.47902624,-79.21005517,316,pasture regeneration,regeneration late,2007.0
PR32,,0.47927521,-79.21729879,339,pasture regeneration,regeneration late,2007.0
PR33,PREX,0.48924515,-79.22841178,311,pasture regeneration,regeneration early,2022.0
PR34,PREX,0.49350932,-79.13794296,615,pasture regeneration,regeneration late,1985.0
PR35,,0.5037611,-79.1579992,411,pasture regeneration,regeneration early,2016.0
PR36,PREX,0.5165012,-79.14308334,380,pasture regeneration,regeneration early,2014.0
