prolific_id,condition,political_affiliation,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,blame_descriptive,praise_descriptive,emotion_descriptive,political_descriptive,affect_polarization,poli_extreme
1,algorithmic,republican,5.0,5.0,5.0,5.0,66.0,67.0,66.0,62.0,3.0,4.0
2,control,democrat,2.0,5.0,4.0,4.0,50.0,50.0,50.0,50.0,3.0,2.0
3,algorithmic,democrat,5.0,7.0,7.0,5.0,50.0,50.0,45.0,65.0,3.0,3.0
4,algorithmic,democrat,6.0,5.0,4.0,7.0,72.0,37.0,46.0,91.0,4.0,3.0
5,algorithmic,republican,2.0,7.0,5.0,6.0,0.0,50.0,50.0,0.0,3.0,2.0
6,control,democrat,4.0,6.0,6.0,5.0,40.0,20.0,35.0,60.0,4.0,3.0
7,algorithmic,republican,4.0,5.0,5.0,5.0,75.0,61.0,55.0,49.0,4.0,3.0
8,control,democrat,3.0,6.0,3.0,7.0,55.0,45.0,35.0,75.0,4.0,2.0
9,algorithmic,democrat,2.0,6.0,2.0,3.0,66.0,18.0,55.0,71.0,3.0,2.0
10,control,democrat,5.0,6.0,6.0,6.0,40.0,40.0,31.0,75.0,4.0,3.0
11,algorithmic,democrat,4.0,5.0,3.0,6.0,60.0,75.0,38.0,85.0,4.0,2.0
12,control,democrat,7.0,3.0,5.0,7.0,75.0,25.0,80.0,90.0,5.0,5.0
13,control,republican,2.0,6.0,6.0,4.0,78.0,50.0,25.0,80.0,4.0,3.0
14,algorithmic,republican,5.0,5.0,5.0,5.0,72.0,68.0,72.0,75.0,2.0,3.0
15,algorithmic,democrat,2.0,5.0,5.0,3.0,26.0,60.0,39.0,33.0,3.0,3.0
16,algorithmic,democrat,4.0,5.0,5.0,4.0,52.0,48.0,44.0,58.0,3.0,2.0
17,control,republican,2.0,6.0,5.0,6.0,64.0,55.0,35.0,80.0,1.0,1.0
18,algorithmic,democrat,6.0,7.0,5.0,7.0,35.0,57.0,21.0,92.0,3.0,2.0
19,algorithmic,republican,6.0,5.0,6.0,6.0,65.0,39.0,54.0,91.0,2.0,3.0
20,algorithmic,democrat,5.0,6.0,6.0,5.0,75.0,25.0,60.0,90.0,4.0,3.0
21,control,democrat,4.0,7.0,7.0,7.0,79.0,41.0,6.0,85.0,2.0,3.0
22,control,republican,5.0,7.0,6.0,7.0,58.0,40.0,71.0,83.0,2.0,3.0
23,control,lean_democrat,1.0,7.0,6.0,6.0,65.0,63.0,35.0,87.0,5.0,4.0
24,algorithmic,democrat,2.0,4.0,4.0,3.0,26.0,63.0,27.0,75.0,2.0,2.0
25,control,democrat,3.0,5.0,2.0,6.0,78.0,60.0,40.0,100.0,5.0,4.0
26,algorithmic,democrat,3.0,2.0,3.0,2.0,84.0,22.0,75.0,100.0,5.0,4.0
27,control,democrat,5.0,5.0,4.0,5.0,64.0,58.0,65.0,59.0,3.0,3.0
28,algorithmic,republican,2.0,6.0,4.0,7.0,93.0,67.0,52.0,78.0,2.0,5.0
30,algorithmic,democrat,4.0,4.0,4.0,4.0,57.0,57.0,44.0,58.0,3.0,3.0
31,algorithmic,republican,5.0,7.0,6.0,7.0,30.0,77.0,6.0,91.0,3.0,1.0
32,control,republican,4.0,6.0,6.0,6.0,80.0,65.0,41.0,95.0,3.0,3.0
33,algorithmic,democrat,4.0,6.0,6.0,6.0,37.0,77.0,77.0,91.0,2.0,2.0
34,algorithmic,democrat,4.0,4.0,4.0,4.0,50.0,50.0,35.0,88.0,3.0,3.0
37,algorithmic,democrat,3.0,6.0,7.0,6.0,56.0,45.0,39.0,98.0,2.0,3.0
38,algorithmic,republican,3.0,6.0,3.0,2.0,40.0,55.0,39.0,46.0,3.0,4.0
40,control,republican,3.0,7.0,5.0,5.0,65.0,55.0,72.0,100.0,2.0,3.0
41,algorithmic,republican,6.0,5.0,6.0,5.0,81.0,65.0,80.0,69.0,4.0,3.0
42,algorithmic,republican,2.0,6.0,4.0,5.0,69.0,28.0,65.0,86.0,4.0,4.0
44,control,republican,5.0,6.0,5.0,4.0,75.0,50.0,69.0,82.0,4.0,3.0
45,control,democrat,2.0,6.0,6.0,6.0,65.0,52.0,79.0,90.0,4.0,4.0
46,control,lean_democrat,3.0,5.0,3.0,5.0,60.0,40.0,75.0,95.0,4.0,3.0
47,control,republican,6.0,6.0,6.0,7.0,0.0,30.0,10.0,60.0,5.0,5.0
48,algorithmic,democrat,6.0,6.0,6.0,6.0,65.0,59.0,53.0,56.0,4.0,4.0
49,algorithmic,republican,2.0,6.0,4.0,6.0,69.0,33.0,35.0,67.0,5.0,4.0
50,control,republican,2.0,6.0,7.0,5.0,60.0,45.0,10.0,90.0,4.0,2.0
52,algorithmic,republican,5.0,4.0,6.0,4.0,72.0,27.0,70.0,35.0,4.0,3.0
53,algorithmic,democrat,3.0,5.0,5.0,5.0,52.0,56.0,54.0,70.0,3.0,2.0
54,control,democrat,4.0,7.0,6.0,7.0,37.0,57.0,45.0,75.0,3.0,4.0
55,control,democrat,3.0,6.0,5.0,6.0,70.0,30.0,15.0,80.0,4.0,3.0
56,control,republican,5.0,7.0,7.0,6.0,85.0,67.0,59.0,89.0,3.0,4.0
57,control,democrat,3.0,6.0,6.0,6.0,65.0,40.0,45.0,65.0,4.0,4.0
58,algorithmic,democrat,4.0,7.0,7.0,7.0,46.0,96.0,92.0,49.0,3.0,3.0
59,algorithmic,democrat,5.0,5.0,6.0,5.0,81.0,19.0,35.0,97.0,3.0,1.0
60,algorithmic,democrat,5.0,6.0,5.0,5.0,25.0,31.0,23.0,84.0,4.0,2.0
62,algorithmic,democrat,4.0,4.0,3.0,2.0,77.0,66.0,50.0,93.0,3.0,3.0
63,control,democrat,5.0,6.0,6.0,6.0,38.0,37.0,36.0,36.0,4.0,4.0
64,control,democrat,1.0,7.0,7.0,4.0,76.0,21.0,28.0,66.0,2.0,4.0
65,control,democrat,5.0,7.0,7.0,7.0,76.0,49.0,82.0,91.0,4.0,4.0
66,control,republican,6.0,6.0,7.0,6.0,79.0,84.0,81.0,100.0,4.0,4.0
67,control,democrat,2.0,7.0,7.0,7.0,32.0,44.0,11.0,86.0,2.0,2.0
68,control,republican,5.0,5.0,6.0,7.0,75.0,85.0,65.0,95.0,4.0,2.0
69,control,democrat,4.0,4.0,3.0,5.0,35.0,55.0,30.0,80.0,4.0,3.0
70,control,democrat,5.0,6.0,6.0,7.0,36.0,78.0,35.0,68.0,3.0,4.0
71,control,democrat,5.0,5.0,3.0,7.0,40.0,60.0,22.0,90.0,4.0,3.0
72,algorithmic,democrat,3.0,4.0,4.0,4.0,60.0,55.0,40.0,70.0,3.0,2.0
74,algorithmic,democrat,6.0,6.0,6.0,6.0,40.0,100.0,64.0,100.0,4.0,4.0
75,algorithmic,democrat,6.0,7.0,7.0,7.0,80.0,91.0,64.0,88.0,2.0,4.0
77,control,republican,3.0,5.0,3.0,4.0,55.0,46.0,39.0,66.0,4.0,4.0
