espaciado_fila_L,espaciado_columna_L,flujo_mm_s,flujo_sd
0.4 L,0.4 L,1.641,0.0351
0.4 L,0.6 L,1.4543,0.0378
0.4 L,0.8 L,1.4707,0.0787
0.4 L,L,1.3291,0.1103
0.6 L,0.4 L,1.6887,0.0944
0.6 L,0.6 L,1.3715,0.0392
0.6 L,0.8 L,1.2792,0.0416
0.6 L,L,1.3514,0.1081
0.8 L,0.4 L,1.289,0.0245
0.8 L,0.6 L,1.0496,0.0612
0.8 L,0.8 L,1.0081,0.0461
0.8 L,L,0.9413,0.0093
L,0.4 L,1.5291,0.0437
L,0.6 L,1.5183,0.0497
L,0.8 L,1.2756,0.0092
L,L,1.0519,0.0797
