frecuencia_hz,simplectica_mm_s,simplectica_sd,antiplectica_mm_s,antiplectica_sd
0,0,0,0,0
2,0.048,0.0016,0.1727,0.0144
4,0.1011,0.002,0.3542,0.0231
6,0.1607,0.0236,0.5409,0.0422
8,0.2354,0.0111,0.7679,0.0305
10,0.3431,0.0199,0.9626,0.0507
12,0.4463,0.0292,1.163,0.0736
14,0.5279,0.0357,1.457,0.0354
16,0.6254,0.0168,1.649,0.0362
18,0.5746,0.0304,1.8341,0.0294
20,0.623,0.0447,1.9469,0.1411
