frecuencia_hz,angulo_rama_deg,flujo_mm_s,flujo_sd
0,30,6.37,0.08
0,60,6.34,0.026
0,90,5.95,0.101
2,30,6.59,0.032
2,60,6.55,0.032
2,90,6.28,0.045
4,30,6.77,0.046
4,60,6.75,0.038
4,90,6.42,0.049
6,30,6.74,0.055
6,60,6.94,0.038
6,90,6.62,0.085
8,30,6.95,0.036
8,60,7.03,0.032
8,90,6.81,0.06
10,30,7.42,0.031
10,60,6.93,0.055
10,90,7.04,0.044
12,30,7.58,0.046
12,60,7.3,0.056
12,90,7.35,0.047
14,30,7.78,0.052
14,60,7.65,0.026
14,90,7.4,0.051
16,30,8.01,0.112
16,60,7.78,0.032
16,90,7.69,0.112
18,30,8.2,0.118
18,60,7.84,0.09
18,90,7.89,0.057
20,30,8.24,0.156
20,60,8.09,0.095
20,90,8.07,0.185
