condicion,grupo,tiempo_min
sin_robot,1,84
sin_robot,2,80
sin_robot,3,89
sin_robot,4,105
sin_robot,5,117
con_robot,1,37
con_robot,2,29
con_robot,3,42
con_robot,4,43
con_robot,5,51
