velocidad_iman_mm_s,angulo_actuacion_deg,velocidad_robot_mm_s,velocidad_robot_sd
0,0,0,0
0,30,0,0
0,60,0,0
5,0,4.1917,0.1048
5,30,4.1966,0.1133
5,60,3.1171,0.5373
10,0,7.1488,0.2513
10,30,6.5094,0.3129
10,60,4.045,0.6562
15,0,9.5878,0.5511
15,30,7.8181,0.513
15,60,4.4362,1.0134
20,0,10.1029,0.5752
20,30,8.7669,0.7857
20,60,4.8454,0.7605
25,0,11.9788,1.1215
25,30,9.1293,0.8055
25,60,4.8383,0.6916
30,0,13.1443,1.9952
30,30,9.4598,0.1705
30,60,5.2478,1.0837
