distancia_actuacion_mm,velocidad_iman_mm_s,velocidad_robot_mm_s,velocidad_robot_sd
45,10,7.1521,0.3113
45,30,10.7705,1.6285
50,10,6.0178,0.269
50,30,7.8552,1.067
55,10,4.6885,0.219
55,30,5.6599,0.1794
60,10,3.8519,0.3178
60,30,4.2328,0.0439
65,10,3.5315,0.3359
65,30,3.8952,0.2722
70,10,3.0825,0.3213
70,30,3.2905,0.3721
75,10,2.4813,0.1017
75,30,3.2413,0.34
