flujo_mm_s,velocidad_iman_mm_s,velocidad_robot_mm_s,velocidad_robot_sd
0,10,7.1488,0.2513
0,20,10.1029,0.5752
0,30,13.1443,1.9952
5,10,6.1583,0.0808
5,20,7.3246,0.0657
5,30,7.8655,0.2125
10,10,6.1222,0.3724
10,20,7.5164,0.4306
10,30,7.5919,0.0955
15,10,5.6435,0.4162
15,20,6.4598,0.2308
15,30,6.2375,0.2758
20,10,4.9326,0.1878
20,20,5.3364,0.5075
20,30,5.7116,0.3252
25,10,4.2843,0.4207
25,20,4.286,0.3068
25,30,4.0954,0.6763
