frecuencia_hz,flujo_vaso_principal_mm_s,flujo_rama_mm_s,flujo_sd
0,0,0,0
0,5,3.13,0.021
0,10,6.21,0.085
0,15,8.92,0.143
2,0,0.15,0.025
2,5,3.41,0.032
2,10,6.5,0.091
2,15,9.37,0.079
4,0,0.35,0.032
4,5,3.56,0.021
4,10,6.68,0.026
4,15,9.46,0.076
6,0,0.54,0.031
6,5,3.68,0.072
6,10,6.87,0.031
6,15,9.65,0.127
8,0,0.77,0.035
8,5,3.97,0.035
8,10,7.11,0.097
8,15,9.81,0.035
10,0,1,0.029
10,5,4.17,0.064
10,10,7.38,0.023
10,15,10.04,0.122
12,0,1.36,0.021
12,5,4.29,0.036
12,10,7.52,0.064
12,15,10.22,0.112
14,0,1.47,0.038
14,5,4.55,0.052
14,10,7.82,0.092
14,15,10.41,0.108
16,0,1.76,0.032
16,5,4.94,0.152
16,10,8.18,0.08
16,15,10.57,0.11
18,0,1.95,0.026
18,5,5.02,0.053
18,10,8.25,0.081
18,15,10.81,0.181
20,0,2.18,0.052
20,5,5.13,0.113
20,10,8.37,0.113
20,15,10.92,0.218
