tiempo_min,sin_robot_ng_ml,sin_robot_sd,con_robot_ng_ml,con_robot_sd
0,70.3326,1.1399,68.6981,1.7969
5,143.0395,6.7588,533.8703,76.5888
10,145.034,66.5531,675.1099,10.8123
15,436.7093,11.1754,672.0605,34.9446
20,375.4022,28.3683,741.0664,33.6645
25,407.8741,39.9423,718.58,87.7485
30,407.0808,21.1741,715.9707,74.4789
35,474.3304,19.6721,709.7843,28.572
40,481.1575,11.8839,720.6145,5.6123
45,524.5354,42.8598,782.2969,63.8337
50,475.1579,74.5278,703.6758,93.2997
