frecuencia_hz,angulo_inclinacion_deg,flujo_mm_s,flujo_sd
0,30,6.05,0.023
0,60,5.77,0.026
0,90,5.85,0.025
2,30,6.03,0.021
2,60,5.73,0.029
2,90,6.02,0.017
4,30,6.2,0.032
4,60,6,0.021
4,90,6.22,0.02
6,30,6.4,0.035
6,60,6.17,0.032
6,90,6.32,0.026
8,30,6.51,0.032
8,60,6.23,0.026
8,90,6.41,0.029
10,30,6.69,0.04
10,60,6.28,0.038
10,90,6.48,0.035
12,30,6.93,0.029
12,60,6.43,0.032
12,90,6.54,0.032
14,30,7.29,0.035
14,60,6.71,0.035
14,90,6.63,0.031
16,30,7.42,0.055
16,60,6.73,0.046
16,90,6.83,0.05
18,30,7.7,0.05
18,60,6.82,0.04
18,90,6.9,0.042
20,30,7.81,0.067
20,60,6.97,0.062
20,90,7.04,0.059
