cobertura_gamma_deg,flujo_mm_s,flujo_sd
45,0.3992,0.0038
90,1.9906,0.0561
135,2.5348,0.0554
180,2.5693,0.0499
225,1.8768,0.0651
270,1.0232,0.0595
315,0.847,0.0239
360,0.5924,0.0371
