angulo_campo_cilio_deg,asimetria_temporal,asimetria_temporal_sd,asimetria_espacial_mm2,asimetria_espacial_sd
0,2.84875,0.07326,0.48054,0.02085
30,2.02072,0.12249,0.3354,0.00251
60,1.46346,0.13958,0.20582,0.01018
90,1.10174,0.04665,0.0531,0.01552
