modelo,predictor,estimate,estimate_sd,std_error,p_value,r2_marginal,r2_marginal_sd,r2_condicional,r2_condicional_sd
7 años,Cambio medio de cobertura (7 a),-1.24,0.015,0.17,<0.001,0.58,0.004,0.73,0.003
7 años,Cobertura 2008,-2.72,0.022,0.28,<0.001,0.58,0.004,0.73,0.003
14 años,Cambio medio de cobertura (14 a),-1.5,0.018,0.18,<0.001,0.6,0.004,0.74,0.003
14 años,Cobertura 2001,-2.77,0.024,0.28,<0.001,0.6,0.004,0.74,0.003
14 años + rango + termof.,Cambio medio de cobertura (14 a),-2.06,0.287,0.24,<0.001,0.75,0.042,0.83,0.028
14 años + rango + termof.,Cobertura 2001,-3.9,0.531,0.37,<0.001,0.75,0.042,0.83,0.028
14 años + rango + termof.,Rango elevacional relativo,0.16,0.008,0.06,0.01,0.75,0.042,0.83,0.028
14 años + rango + termof.,Termofilización,0.18,0.015,0.09,0.04,0.75,0.042,0.83,0.028
