scenario,natural_risks_factor,all_risks_factor
Primary,6.20729553931822,3.50257822356999
"Salvage logging,lower bound",5.42169444127253,3.05928866517887
"Salvage logging,upper bound",5.90105687926711,3.32977754812026
Severe disturbance,7.96090165103446,4.49208203254944
Dynamic,3.99027893099581,2.24776689718372
Primary SSP3-7.0,7.00073716999756,3.95029194360926
Primary SSP5-8.5,7.42807112847499,4.19142282060298
