supersection,fire_historical_pct,drought_historical_pct,insect_historical_pct,fire_climatechange_pct,drought_climatechange_pct,insect_climatechange_pct
Okanogan Highland,25.9794554212353,2.52862824058619,39.3839673334183,59.706230875347,2.37735471847188,32.0450840887227
Northwest Cascades,18.7828744017524,3.62546189189965,23.1919339524681,51.0607993937521,3.49263763698662,17.8365821874447
Puget Trough,0,9.34302482803581,4.78489838681945,0,8.25095546522896,3.40429059921092
Northern Rocky Mountains,32.653001567738,12.2871647995532,27.4305644706781,66.1944241221028,10.9945908680942,21.9416254175261
Northern Great Plains,30.9996038189909,7.54629433437195,24.0342247688782,72.7992218462773,8.73068788696092,25.851650123139
Columbia Basin,30.9996038189909,0,38.8231588240173,65.9995496103538,0,31.4293308635599
Willamette Valley,0,8.61882537093125,0,0,7.84254669362868,0
Bitterroot Mountains,10.1999571354302,2.16934668714981,50.3686516809976,28.3316513571593,2.0130800038458,39.1748396981711
Oregon and Washington Coast,0,8.89485377881555,2.3185562775992,0,8.23110550231117,1.44985563632068
Laurentian Mixed Forest MN & Ontario Lake Plain,0.713034866433482,24.6294610603268,21.1691879508259,13.3494537585849,25.7066018261154,29.8522623399563
Blue Mountains,24.4390470768636,6.86787916292914,35.0236872958046,54.0329648218422,6.62011852535205,29.182603647325
North Central Great Plains,25.6314447338243,0,0,87.5173423723211,0,0
Prairie Parkland Red River Valley,0,27.6100029290152,0,0,25.2537224030856,0
Aroostook Hills and Lowlands,0,22.7069499844667,0,0,22.2658327695588,0
MW Broadleaf Forest Driftless & Morainal,2.08455995328447,13.8145508428499,2.08782397808657,16.7546577080807,13.8263800497914,2.33625398004618
Montana Rocky Mountains,23.9524986524011,1.01116480817892,91.9563754539658,53.8756341659102,0.90849631527975,85.9114052994718
Eastern Cascades,17.6251859717415,0,42.4800615572095,43.650900492048,0,37.2939000005353
Western Great Plains,30.8107402703853,27.1760281622454,43.3850713955832,74.5048421849596,30.6401961689386,55.3327103147071
Idaho Batholith,74.8046371584274,15.8040086499176,71.852397661594,97.6050472114445,14.1548170182537,62.720007689944
Maine - New Brunswick Foothills and Lowlands,0,24.7809198074987,0,0,23.6577240024161,0
Laurentian Mixed Forest Arrowhead,7.06218396399226,39.2319522184547,6.68163944557374,76.1921205797446,42.1993999153998,8.83998947243906
Northwestern Basin and Range,0,11.2297431087865,0,0,16.5752793537706,0
Laurentian Mixed Forest Southern Superior,0,51.4375949660162,10.5382106152253,0,51.5271306372267,21.1190120433802
Southern Cascades,43.51889086489,9.02230112068168,8.31239283459149,78.7344966094975,10.6152993256483,32.147804137684
Laurentian Mixed Forest Western Superior & Lake,0,38.3283926197084,7.88608251292204,0,40.4152675643947,9.09267428656655
Central Maine & Fundy Coast & Ebayment,0,33.0631768645827,39.4698424238326,0,32.0629764519452,60.9265087177395
Snake River Basin,14.9065852125574,15.6027463677479,15.6027463677479,41.3665252684136,36.4416758019892,15.9545995129534
Yellowstone / Bighorn,11.4002337787456,0,82.0356394853805,27.7339917316873,0,68.2519427826702
Northern California Coast,0,10.7398966650039,3.32250027071789,0,10.5453313230997,2.63070669289869
Laurentian Mixed Forest Northern Highlands,0,40.0560197186611,3.44779484022676,0,38.3118936750553,5.11896541348007
Prairie Parkland North Central Plains,0,30.3787658416169,0,0,27.8620730305214,0
St Lawrence & Mohawk Valley,0,0,0,0,0,0
Laurentian Mixed Forest NLP/EUP,0.437071791228316,32.536724158254,1.82636130238084,4.01696432092783,36.8976358345431,3.10144106743842
White Mountains,0,18.736152951449,1.287066229907,0,17.9593949543625,1.7914300116617
California Central Valley Basin,24.5792412714553,34.0828031778134,0,50.1600578371534,36.0730648984089,0
Sierra Nevada Foothills,8.16187035811098,58.1757878772113,12.088391550559,18.0067213561215,60.1343372306146,14.6339682041996
Great Divide Basin,12.6481984395002,12.6481984395002,28.6328598488384,36.8174438115025,31.773016528319,32.5002892794087
Modoc Plateau,23.9677879514167,8.14526023296388,28.8429699257928,53.5630132103905,9.2458818733287,40.6869491358682
Adirondacks & Green Mountains,1.03097179999647,0,1.03097179999647,18.0674661293929,0,1.34920177384044
Wasatch Range,13.2330732730221,18.4774211479007,70.0418385840152,42.2988769099945,21.0964030608845,71.8123139854673
Laurentian Mixed Forest Green Bay Lobe,0,34.9493452866338,3.01000405840287,0,33.1363702444467,5.92890222042541
Western Basin and Range,15.3080748970244,2.14147419017995,34.7332943717773,45.5351689335636,4.89018076709744,55.5305863203162
MW Broadleaf Forest Great Lakes Morainal & Sands,0,25.2738358454631,0,0,30.7404539057935,0
Lower New England - Northern Appalachia,0,4.13364268426024,6.14776422797756,0,4.13839628367972,6.66674281574661
MW Broadleaf Forest SC Great Lakes & Lake Whittles,0,18.6321381115445,33.5519828021924,0,18.577903925731,38.123922391796
Nevada Mountains,3.65656063464078,0,14.8169333836877,13.9955913175048,0,28.6182547938999
Erie & Ontario Lake Plain,0,0,0,0,0,0
Catskill Mountains,0,0,0,0,0,0
Central Great Plains,0,0,16.6888520923237,0,0,17.4924673417748
Central California Coast,38.1043913977496,33.2929040454562,0,70.8616764693727,34.742950253659,0
Southwestern Rocky Mountains,15.6270362425472,15.9761010826535,84.4389120129902,58.3466795108788,17.6836973805404,85.3522038036763
Western Allegheny Plateau,0,0,4.2829033630059,0,0,4.6856305326182
Northern Allegheny Plateau,0,5.3805899638206,2.14900450220132,0,5.18193455091593,2.59248366332613
Prairie Parkland Central Till Plains & Grand,1.43685993573134,44.7396409810803,2.85531433143942,8.48035511665591,45.0324615123616,2.89091302083478
Utah Mountains,11.8594117766371,20.8318627554157,30.967667491202,43.9212751560316,32.9989740513207,44.7959827124908
Southern Rockies Front Range,8.02012611625603,8.10676478180497,92.1078037895582,30.1860574021271,7.14883967904779,86.5865267526757
Booneville Basin,24.025116757934,9.34302482803581,12.2610682939339,68.5366769885673,31.5015956628731,19.2008244193301
Great Plains,30.4397432226719,7.09163097990301,49.2997353770239,71.9097694953087,17.9354814860329,52.2525367446138
Eastern Great Plains,9.47571458467139,0,15.5062007937356,49.3554506175841,0,15.6625365815755
Southern Allegheny Plateau,0,1.42486860028966,5.45885637573534,0,1.5138817115583,5.78122117400329
MW Broadleaf Forest Central Till Plains,0,0,6.9789904894656,0,0,7.49557494799738
Northern Atlantic Coastal Plain,7.14872742678055,17.1025235333488,16.5806163290587,60.9101994787656,19.460265938679,16.7474385103523
Colorado River Canyon Lands,8.35961513242368,16.1820124073514,30.8884733037204,29.7506218080989,28.1467480763977,43.2238617638289
Colorado Plateau,8.26297042401059,16.8405879769625,41.8823141340329,30.4100757425835,34.404901507854,53.4445601093241
Allegheny & North Cumberland Mountains,4.42869942032278,15.769346568335,20.5677475276512,38.9965343540638,15.9600357850568,20.4683834136432
Sierra Nevada,34.1325828182486,21.279415225205,24.5852614232732,67.8883613029312,25.3293830790768,72.0638287819429
Central Interior Broadleaf Forest Western Low,0,0,0,0,0,0
Central Interior Broadleaf Forest Central Till,0,24.0427108061466,0,0,24.8586658712849,0
Southwestern Desert,9.96306026019436,10.376178298885,34.3827577817532,37.4816456317223,22.8401979595729,32.4973444118324
Southern Rocky Mountains,6.51439800856276,19.594425738722,63.6715506454256,24.2399804226696,24.3159803193143,68.4545894544172
Central Interior Broadleaf Forest Eastern Low,0,13.7197141947983,9.50812236849009,0,14.3586390817968,9.69429465027287
Central Interior Broadleaf Forest Ozark Highlands,4.66574997487894,46.7109139972861,3.26076248079293,23.3569968601489,46.5033222685311,3.2694433876916
Southern California Coast,47.8720077436611,53.8006570281951,0,83.5755019063393,53.8006570281951,0
Southern California Mountains,58.5834855105612,35.5839874923943,8.06321286708619,90.5231492717881,39.7893323154346,22.9374226196439
Tonto Transition,34.4936719914631,11.8686970588824,14.0693879298964,81.5776173175796,29.4513522870071,10.418774390922
SE Middle Mixed Forest Piedmont,1.56427046758865,27.4114212724708,31.6397613136464,15.6252400808579,28.5237170379547,31.7615954106187
MS River Mixed Forest,1.69674354036917,18.1632058313674,7.70825084172515,12.5850417001972,19.3920703453066,7.64199225559232
Central New Mexico,32.7513429954518,49.9993644710383,65.5277358411071,74.3387457018834,73.5270550207739,64.7813608677268
Southwest High Plains,31.7598879342742,29.7583996010776,0,80.3295743235837,50.3494096225592,0
Eastern Broadleaf Forest Cumberland Plateau,3.53418088752617,33.200236224675,64.4111059566842,29.4370447474971,34.1726458276883,66.5475271521112
MS River Delta,3.12230280886079,38.370057853815,6.66786636256899,39.5248897361304,39.0037812237394,6.29253174260526
Blue Ridge Mountains,10.6051967828153,14.0737743003111,49.2897580947619,84.5731099801055,13.9657297579591,47.9316181050753
Ozark Broadleaf Forest-Meadow Boston Mountains,13.7388340555198,38.6824295432294,16.6653245621969,66.1796044915786,40.2587954043776,16.6522218421808
White Mountains - San Francisco Peaks - Mongollon,56.3545002354997,20.3299838108274,41.5627117729845,94.1728575666286,34.8064997615472,38.7948920308843
Atlantic Coastal Plain & Flatwoods,10.5825913679273,21.3515652997778,7.03892593359148,56.3151256946247,24.5180209759645,9.25571185985131
SE Middle Mixed Forest Arkansas Valley,24.3279086622789,30.6487986255903,6.90561859925909,74.6265621245425,31.2139653573543,6.84350784915582
Cross Timbers and Prairie,26.3951075270687,35.2818856660463,7.60364401240229,78.5702779314472,63.2524592165986,8.07928973908726
SE Middle Mixed Forest Cumberland Plateau & Valley,3.85739195010523,8.28277379797724,45.7327653696415,15.9057891473424,8.40263094564006,45.0059705847281
SE Middle Mixed Forest Western Mid Coastal Plains,2.83169511014064,23.8064305214341,12.1902201005679,15.4812993258448,26.0117404775613,11.8395890245974
Subtropical Prairie Parkland Gulf & Oak Prairie,3.08573623680984,45.968847297937,10.5395600483887,10.5774074015222,47.3448135325575,10.1496262401712
Chihuahuan Semi-Desert,46.0853958455714,38.1274419870448,23.4505102869666,84.3690911504329,65.7783167449196,21.1884212917745
Gulf Coastal Plain,7.08057883540565,35.5349612730539,9.08795538828764,58.8327075231558,38.5953776472063,9.9108181866258
Southwest Plateau,3.95622060127127,53.8415712610585,0,21.1265355122801,86.487273655641,0
Florida Coastal Plains Central Highlands,10.5496087823249,13.7405824612594,3.48335514602948,50.3476556513233,14.8810133685472,4.0900594767186
Florida Everglades,37.9560930684231,0,13.6106520311394,96.5364258790905,0,19.4290147393562
