medida,unidad,agregado,vive_solo,p_vive_solo
Distres interfiere en la vida,%,6.2,15.1,0.004
Distres K-6 (PSID),unidades,0.3,0.8,0.003
Medicacion depresion/ansiedad,pp,1.8,5.1,0.039
Toda medicacion de salud mental,pp,1.9,5.3,0.025
