campo,correcto,incorrecto
Dosage Text,467.0,1.0
Dosage Value,457.0,11.0
Dosage Unit,460.0,8.0
Period,466.0,2.0
Period Unit,467.0,1.0
Frequency,464.0,4.0
Route,453.0,15.0
