variable,coef,stderr,z_stat,pvalue
const,-11.817862,0.432296,-27.337421,2.610443e-159
Age,0.527405,0.088153,5.982847,2.260219e-09
Female Sex,-2.324197,0.205235,-11.324551,1.439665e-29
Years of Education,0.290581,0.078647,3.694756,0.0002211539
Pretreatment BMI,-0.088964,0.081298,-1.094298,0.2738481
Days on Treatment,-0.670611,0.523272,-1.281575,0.2000187
Dose,-6.134348,0.325539,-18.843651,5.39874e-78
Drug Type,-3.267936,0.254096,-12.861019,1.381408e-37
Dose x Type,-1.497982,0.11615,-12.896937,8.733602e-38
Days x Type,2.398294,0.351305,6.826825,9.133512e-12
Dose x Days,2.174355,0.301859,7.203223,6.260683e-13
Dose x Type x Days,0.598721,0.113092,5.294107,1.218777e-07
GWAS Index SNP*,-0.703354,0.114319,-6.152562,7.886345e-10
T2D,2.752215,0.206539,13.325402,3.348072e-40
NAFLD,0.805089,0.250146,3.218481,0.001292413
Hypertension,0.448555,0.171251,2.619281,0.008823492
PC0,0.468308,0.11105,4.217111,2.494111e-05
PC1,-0.156705,0.107711,-1.454866,0.1457345
PC2,-0.158338,0.092431,-1.713044,0.08673237
PC3,0.118302,0.080369,1.471984,0.1410536
PC4,-0.094959,0.079918,-1.188199,0.2347802
PC5,0.070042,0.079786,0.877875,0.3800303
PC6,0.085806,0.08081,1.061827,0.2883371
PC7,-0.170283,0.077254,-2.204197,0.0275309
PC8,-0.094929,0.081607,-1.163249,0.2447534
PC9,0.142847,0.07748,1.843667,0.06525832
v3_max_platform,-0.234459,0.668665,-0.350637,0.7258677
v4_max_platform,0.589849,0.31842,1.852423,0.06399153
v5_2_platform,0.369304,0.174268,2.119167,0.03409842
