ssp,tipo,metrica,periodo,ensemble_mean,ensemble_std,ensemble_median,n_models
ssp126,LHW,count,fut,5.21436542911852,0.23193042099600022,4.600000063578288,3
ssp126,LHW,count,hist,2.0409691818968656,0.018402022967544607,1.8333333333333333,3
ssp126,LHW,cum,fut,99.82486540281114,90.33783325574349,95.11738967895508,3
ssp126,LHW,cum,hist,20.669206413312367,1.1486381095214537,21.603777567545574,3
ssp126,LHW,dur,fut,31.86652382163206,22.674043557496965,27.23283290863037,3
ssp126,LHW,dur,hist,8.463648017170051,0.024395796301113135,8.203222274780273,3
ssp126,LHW,int,fut,2.698536839576013,0.4709834541392837,2.915333350499471,3
ssp126,LHW,int,hist,1.8288646800413089,0.08672994020145265,1.8817777633666992,3
ssp126,LHW,lag_dias,fut,0.3115417483590293,0.16637118031620032,0.11590544444819284,3
ssp126,LHW,lag_dias,hist,0.7105229842068149,0.01759922917605712,0.14642418175935742,3
ssp126,LHW,pct_no_shw,fut,2.0799308084072794,0.09194862755121497,1.0777777830759685,3
ssp126,LHW,pct_no_shw,hist,0.7604237954577836,0.02088204422263017,0.4333333373069763,3
ssp126,LHW,tot,fut,124.73582649570191,61.22384063357788,104.47778065999348,3
ssp126,LHW,tot,hist,22.230915877807842,0.499226370962936,20.53333346048991,3
ssp126,PHW,count,fut,2.9894585538902647,0.08122357813241825,2.2777777512868247,3
ssp126,PHW,count,hist,1.3426885450937445,0.007825095440164721,1.100000023841858,3
ssp126,PHW,cum,fut,116.19567348107837,84.61711019537093,85.0085563659668,3
ssp126,PHW,cum,hist,22.809206098631403,1.3625807685599656,21.057555834452312,3
ssp126,PHW,dur,fut,53.8282654033334,25.946689647260587,30.780499776204426,3
ssp126,PHW,dur,hist,13.436262806621338,0.24710709736258585,10.234222094217936,3
ssp126,PHW,int,fut,1.86994655158136,0.3081869742145831,2.0020000537236533,3
ssp126,PHW,int,hist,1.166397432569713,0.044026911192689554,1.1967222293217976,3
ssp126,PHW,lag_dias,fut,7.949221769632793,4.700971694914434,5.244091709454854,3
ssp126,PHW,lag_dias,hist,22.080924471762476,0.5464463726249997,15.105401992797852,3
ssp126,PHW,pct_no_shw,fut,39.36375617066741,5.517040376201602,19.488889376322426,3
ssp126,PHW,pct_no_shw,hist,16.240064098267307,0.06735697270401604,12.822222391764322,3
ssp126,PHW,tot,fut,114.87225177510332,43.63304516711365,87.00555674235027,3
ssp126,PHW,tot,hist,25.53067986022293,0.43899964217682513,22.900000254313152,3
ssp126,SHW,count,fut,5.26381713085608,0.2405366957189043,4.644444465637207,3
ssp126,SHW,count,hist,2.055051056233298,0.018384651938404502,1.855555534362793,3
ssp126,SHW,cum,fut,98.50825789890347,89.1967166467037,93.80233446756999,3
ssp126,SHW,cum,hist,20.72950138421046,1.1494522768632416,21.681944529215496,3
ssp126,SHW,dur,fut,31.09202007311659,22.299257678973085,26.802332560221355,3
ssp126,SHW,dur,hist,8.411288937206665,0.02300018954348464,8.167388757069906,3
ssp126,SHW,int,fut,2.722251024019878,0.47565513197517595,2.9408888816833496,3
ssp126,SHW,int,hist,1.851640888608161,0.08808393495346177,1.8997778097788494,3
ssp126,SHW,tot,fut,124.14474257162247,61.3144669269083,104.10000101725261,3
ssp126,SHW,tot,hist,22.18433379233962,0.48093576452477776,20.522221883138023,3
ssp370,LHW,count,fut,4.458671264095435,1.7366887705302465,3.4777777989705405,3
ssp370,LHW,count,hist,2.0405575900830124,0.018323116365949837,1.8333333333333333,3
ssp370,LHW,cum,fut,388.4947725842539,364.8234316364935,398.6277211507161,3
ssp370,LHW,cum,hist,20.67181736498817,1.1497816427517171,21.60627778371175,3
ssp370,LHW,dur,fut,90.09095509516008,57.23229851009239,75.31160990397136,3
ssp370,LHW,dur,hist,8.463196988832767,0.024951839651868358,8.202666600545248,3
ssp370,LHW,int,fut,3.404411730988761,0.761665975604212,3.734777847925822,3
ssp370,LHW,int,hist,1.82899006172039,0.0867204360237847,1.881666660308838,3
ssp370,LHW,lag_dias,fut,0.05768968407268086,0.03692394275523447,0.021235901086280668,3
ssp370,LHW,lag_dias,hist,0.7102673474065587,0.017293731147308956,0.14620127280553177,3
ssp370,LHW,pct_no_shw,fut,1.4084351894458076,0.5342557902816596,0.6555555611848831,3
ssp370,LHW,pct_no_shw,hist,0.7602078985150017,0.020820527119856404,0.4333333373069763,3
ssp370,LHW,tot,fut,223.1097639651041,33.370333667740425,202.71111551920572,3
