ssp,tipo,metrica,fut_mean,hist_mean,delta_abs,delta_pct
ssp126,LHW,count,5.21436542911852,2.0409691818968656,3.1733962472216546,155.4847704399102
ssp126,LHW,cum,99.82486540281114,20.669206413312367,79.15565898949878,382.9641903354218
ssp126,LHW,dur,31.86652382163206,8.463648017170051,23.40287580446201,276.510504181944
ssp126,LHW,int,2.698536839576013,1.8288646800413089,0.8696721595347041,47.55257012864728
ssp126,LHW,lag_dias,0.3115417483590293,0.7105229842068149,-0.3989812358477856,-56.153177971179105
ssp126,LHW,pct_no_shw,2.0799308084072794,0.7604237954577836,1.319507012949496,173.5225831741809
ssp126,LHW,tot,124.73582649570191,22.230915877807842,102.50491061789407,461.09171201632887
ssp126,PHW,count,2.9894585538902647,1.3426885450937445,1.6467700087965202,122.64720770977794
ssp126,PHW,cum,116.19567348107837,22.809206098631403,93.38646738244697,409.42445334846764
ssp126,PHW,dur,53.8282654033334,13.436262806621338,40.39200259671206,300.6193253142313
ssp126,PHW,int,1.86994655158136,1.166397432569713,0.703549119011647,60.318129941493794
ssp126,PHW,lag_dias,7.949221769632793,22.080924471762476,-14.131702702129683,-63.999597119231055
ssp126,PHW,pct_no_shw,39.36375617066741,16.240064098267307,23.1236920724001,142.38670446422205
ssp126,PHW,tot,114.87225177510332,25.53067986022293,89.34157191488039,349.9380839210456
ssp126,SHW,count,5.26381713085608,2.055051056233298,3.208766074622782,156.14045524027648
ssp126,SHW,cum,98.50825789890347,20.72950138421046,77.778756514693,375.20804322836545
ssp126,SHW,dur,31.09202007311659,8.411288937206665,22.680731135909923,269.6463206201789
ssp126,SHW,int,2.722251024019878,1.851640888608161,0.8706101354117171,47.01830364451155
ssp126,SHW,tot,124.14474257162247,22.18433379233962,101.96040877928286,459.60545731821975
ssp370,LHW,count,4.458671264095435,2.0405575900830124,2.4181136740124227,118.50259388729386
ssp370,LHW,cum,388.4947725842539,20.67181736498817,367.82295521926574,1779.3450315706011
ssp370,LHW,dur,90.09095509516008,8.463196988832767,81.62775810632732,964.502636699058
ssp370,LHW,int,3.404411730988761,1.82899006172039,1.5754216692683711,86.13615252706695
ssp370,LHW,lag_dias,0.05768968407268086,0.7102673474065587,-0.6525776633338779,-91.87775078168431
ssp370,LHW,pct_no_shw,1.4084351894458076,0.7602078985150017,0.6482272909308059,85.26973900127321
ssp370,LHW,tot,223.1097639651041,22.2268121535584,200.8829518115457,903.7866088204888
ssp370,PHW,count,2.510020097609983,1.3425545567811703,1.1674655408288128,86.95851762090469
ssp370,PHW,cum,324.3943805611056,22.808580374138597,301.585800186967,1322.2471334906868
ssp370,PHW,dur,104.74475862772339,13.433735962207235,91.31102266551615,679.71428739108
ssp370,PHW,int,2.27186970212615,1.166498083150257,1.1053716189758929,94.7598315798955
ssp370,PHW,lag_dias,1.618886148069618,22.07441590903883,-20.455529760969213,-92.66623336834597
ssp370,PHW,pct_no_shw,24.713944762674178,16.23575350452307,8.478191258151107,52.21926568292129
ssp370,PHW,tot,183.25862944490177,25.525448575642315,157.73318086925946,617.9447949830605
ssp370,SHW,count,4.521903168974091,2.054641368263906,2.4672618007101845,120.08235786642058
ssp370,SHW,cum,386.581973241521,20.732158693325186,365.8498145481958,1764.648920355712
ssp370,SHW,dur,88.93975985885602,8.410830458287904,80.52892940056812,957.4432608044801
ssp370,SHW,int,3.437543052821194,1.851773822526039,1.585769230295155,85.6351467444322
ssp370,SHW,tot,223.2628032554088,22.18022993814897,201.08257331725986,906.5847102486847
ssp585,LHW,count,3.647107765989929,2.0405395234497252,1.6065682425402037,78.73252265283978
ssp585,LHW,cum,562.5956200586435,20.670090211578366,541.9255298470651,2621.7859927070135
ssp585,LHW,dur,115.28528920959836,8.462962916793082,106.82232629280529,1262.233184087779
ssp585,LHW,int,3.6521582785036437,1.8288644007714343,1.8232938777322094,99.6954108223182
ssp585,LHW,lag_dias,0.03715243351711887,0.710421122697813,-0.6732686891806942,-94.77036474140394
ssp585,LHW,pct_no_shw,1.1140983813684888,0.7602864022034437,0.35381197916504514,46.53667067300373
ssp585,LHW,tot,237.3689407747133,22.22674803455742,215.14219274015588,967.942734608139
ssp585,PHW,count,2.1345246304382894,1.3425555525542652,0.7919690778840243,58.98966909617048
ssp585,PHW,cum,423.6526520095597,22.807899417714566,400.8447525918451,1757.4821128881108
ssp585,PHW,dur,118.51305376998728,13.433930557912602,105.07912321207468,782.1919486563294
ssp585,PHW,int,2.3773789321964642,1.1664912525796318,1.2108876796168324,103.8059802796652
ssp585,PHW,lag_dias,1.034405151926374,22.074553522549866,-21.04014837062349,-95.31403817128307
ssp585,PHW,pct_no_shw,18.555084377012374,16.235283784710543,2.3198005923018314,14.288635930629598
ssp585,PHW,tot,190.48051172623386,25.52531684184052,164.95519488439334,646.241517417729
ssp585,SHW,count,3.7048222590753515,2.0546253300004,1.6501969290749514,80.31619706910895
ssp585,SHW,cum,561.6885422559989,20.73032601093673,540.9582162450621,2609.501731712603
ssp585,SHW,dur,114.3476827617817,8.410580519845716,105.93710224193597,1259.5694434167224
ssp585,SHW,int,3.687797846558657,1.8516497049194787,1.8361481416391785,99.1628241973028
ssp585,SHW,tot,237.89089740258555,22.180167778641287,215.71072962394427,972.5387642543716
