ssp,tipo,metrica,periodo,banda_lat,ensemble_mean,ensemble_std,n_models
ssp126,LHW,int,fut,Subpolar,3.55911856599764,0.7421293925631616,3
ssp126,LHW,int,fut,Temperada,2.6868969877526614,0.4208771038560198,3
ssp126,LHW,int,fut,Tropical,1.8017448316249054,0.2606537421643227,3
ssp126,LHW,int,hist,Polar,1.918197131257385,0.0701999217987561,3
ssp126,LHW,int,hist,Subpolar,2.0572635629510683,0.08866950815317261,3
ssp126,LHW,int,hist,Temperada,1.96328935194225,0.12896219502948983,3
ssp126,LHW,int,hist,Tropical,1.4251813161447275,0.031966214314447225,3
ssp126,LHW,tot,fut,Polar,59.608049910569925,36.87808800390679,3
ssp126,LHW,tot,fut,Subpolar,88.85662801772772,50.137787083691265,3
ssp126,LHW,tot,fut,Temperada,130.7557618471608,57.37630286774656,3
ssp126,LHW,tot,fut,Tropical,154.77761323721404,78.22678314458268,3
ssp126,LHW,tot,hist,Polar,10.7216436475765,0.30169564115718195,3
ssp126,LHW,tot,hist,Subpolar,15.608643027994011,0.3996992713123382,3
ssp126,LHW,tot,hist,Temperada,22.76120777050868,0.6506756866208109,3
ssp126,LHW,tot,hist,Tropical,28.604501283166176,0.3066784401057799,3
ssp126,PHW,count,fut,Polar,1.5667251546046523,0.036616939593664924,3
ssp126,PHW,count,fut,Subpolar,2.31672220403125,0.06861968768517601,3
ssp126,PHW,count,fut,Temperada,3.401346329682958,0.1842987749549274,3
ssp126,PHW,count,fut,Tropical,3.1492784411717216,0.3835417237271766,3
ssp126,PHW,count,hist,Polar,0.7328838891904302,0.006905067570077191,3
ssp126,PHW,count,hist,Subpolar,1.0459078187090942,0.008040152097036528,3
ssp126,PHW,count,hist,Temperada,1.4657901089818886,0.010922736558648229,3
ssp126,PHW,count,hist,Tropical,1.4959798195558438,0.026517829294452372,3
ssp126,PHW,cum,fut,Polar,107.35499999831666,86.56984096976285,3
ssp126,PHW,cum,fut,Subpolar,93.5063690443154,68.71175118108698,3
ssp126,PHW,cum,fut,Temperada,109.83047290800486,69.53390668231741,3
ssp126,PHW,cum,fut,Tropical,146.03950438973138,119.7754254246155,3
ssp126,PHW,cum,hist,Polar,19.395373740221142,0.9396230869544167,3
ssp126,PHW,cum,hist,Subpolar,21.708912578369763,1.0879984650376129,3
ssp126,PHW,cum,hist,Temperada,25.790009367012065,1.825497287312185,3
ssp126,PHW,cum,hist,Tropical,19.84230763412471,1.2009693786578652,3
ssp126,PHW,dur,fut,Polar,30.008498179168964,16.453508272365934,3
ssp126,PHW,dur,fut,Subpolar,32.5056814942337,16.88470939617357,3
ssp126,PHW,dur,fut,Temperada,47.41894271564601,18.693435089322314,3
ssp126,PHW,dur,fut,Tropical,84.36654499819011,44.910456427202654,3
ssp126,PHW,dur,hist,Polar,7.854581886790151,0.1893184335773191,3
ssp126,PHW,dur,hist,Subpolar,9.798881761390177,0.12415710248891623,3
ssp126,PHW,dur,hist,Temperada,13.824753169735361,0.3215910842880827,3
ssp126,PHW,dur,hist,Tropical,16.701674265470118,0.2462771751921848,3
ssp126,PHW,int,fut,Polar,2.615626309440092,0.7227843957630895,3
ssp126,PHW,int,fut,Subpolar,2.344591163658679,0.48208719193479244,3
ssp126,PHW,int,fut,Temperada,1.9821483649776825,0.2963196673017867,3
ssp126,PHW,int,fut,Tropical,1.2091747063117022,0.14598343643225187,3
ssp126,PHW,int,hist,Polar,1.2215510624959,0.036113825267854685,3
ssp126,PHW,int,hist,Subpolar,1.2984268368324996,0.05971736311026529,3
ssp126,PHW,int,hist,Temperada,1.3351971279102521,0.05862294165422237,3
ssp126,PHW,int,hist,Tropical,0.8002496401764093,0.01564431730992281,3
ssp126,PHW,tot,fut,Polar,46.489151623168276,20.22449667728749,3
ssp126,PHW,tot,fut,Subpolar,67.47543098080432,29.732583596009,3
ssp126,PHW,tot,fut,Temperada,111.08485706705297,40.30004234957271,3
ssp126,PHW,tot,fut,Tropical,169.48971202307473,61.92983623886012,3
ssp126,PHW,tot,hist,Polar,11.276190455212857,0.20691752355092768,3
ssp126,PHW,tot,hist,Subpolar,17.008201462083196,0.30711224166952744,3
ssp126,PHW,tot,hist,Temperada,26.439347914501468,0.49257448114996605,3
ssp126,PHW,tot,hist,Tropical,33.33436405620491,0.2688118638112617,3
ssp126,SHW,count,fut,Polar,1.9498939997911615,0.030487844050873073,3
ssp126,SHW,count,fut,Subpolar,3.413760492932265,0.16301895127529134,3
ssp126,SHW,count,fut,Temperada,5.860578600396661,0.31491285227880594,3
ssp126,SHW,count,fut,Tropical,6.404279146315567,0.2382983722297178,3
ssp126,SHW,count,hist,Polar,0.8258943524583725,0.004992684178056054,3
ssp126,SHW,count,hist,Subpolar,1.3468913517558878,0.02186636839748607,3
ssp126,SHW,count,hist,Temperada,2.180118116334869,0.025370556433313905,3
ssp126,SHW,count,hist,Tropical,2.637194834308166,0.015278524405760836,3
ssp126,SHW,cum,fut,Polar,180.19768238287372,175.36379149315667,3
ssp126,SHW,cum,fut,Subpolar,141.84671382797944,136.72971589109707,3
ssp126,SHW,cum,fut,Temperada,86.85804551306035,70.37949963774804,3
ssp126,SHW,cum,fut,Tropical,68.94340288605184,67.3277687989781,3
ssp126,SHW,cum,hist,Polar,26.41255722894355,1.4463800454553288,3
ssp126,SHW,cum,hist,Subpolar,25.066723512204288,1.1149285035844376,3
ssp126,SHW,cum,hist,Temperada,21.183248474433267,1.6947851438087786,3
ssp126,SHW,cum,hist,Tropical,15.624142591016815,0.4910620649789209,3
ssp126,SHW,dur,fut,Polar,35.62392375523377,27.085265434124857,3
ssp126,SHW,dur,fut,Subpolar,32.80972212857343,24.85446455390643,3
ssp126,SHW,dur,fut,Temperada,27.976715573212687,17.021117181374258,3
ssp126,SHW,dur,fut,Tropical,33.635846632311775,27.35861225740727,3
ssp126,SHW,dur,hist,Polar,7.016110597331935,0.23443084054349822,3
ssp126,SHW,dur,hist,Subpolar,7.774361367948408,0.06538092419267723,3
ssp126,SHW,dur,hist,Temperada,8.478903322413693,0.0902759286867971,3
ssp126,SHW,dur,hist,Tropical,9.03625554262718,0.15287007032705605,3
ssp126,SHW,int,fut,Polar,4.174853090416414,1.1434651634150081,3
ssp126,SHW,int,fut,Subpolar,3.5875741919965165,0.7445736414928397,3
ssp126,SHW,int,fut,Temperada,2.718634725466226,0.4283888550082044,3
ssp126,SHW,int,fut,Tropical,1.807685155601818,0.2636748002339433,3
ssp126,SHW,int,hist,Polar,1.9549025029610583,0.07804772321467922,3
ssp126,SHW,int,hist,Subpolar,2.0847201408577445,0.08737942020578113,3
ssp126,SHW,int,hist,Temperada,1.9931036112809501,0.1313911363494039,3
ssp126,SHW,int,hist,Tropical,1.4319868166762852,0.03359150476426903,3
ssp126,SHW,tot,fut,Polar,59.19405487820254,36.8114794315858,3
ssp126,SHW,tot,fut,Subpolar,88.46794348198178,50.09274070792835,3
ssp126,SHW,tot,fut,Temperada,129.82622166812232,57.650178696712196,3
