ciclo,round,contribucion_financiera_pct,esfuerzo_cooperativo_pct
1,1,99.9922,97.7365
1,2,99.8259,96.4339
1,3,99.3475,92.3714
1,4,98.1883,90.3508
1,5,96.6501,87.5765
1,6,94.3349,86.2622
2,1,99.4738,94.3084
2,2,98.5423,94.4345
2,3,96.0952,88.2091
2,4,92.6762,85.7635
2,5,89.9357,81.0106
2,6,85.9641,78.6827
3,1,98.8737,89.0214
3,2,97.1539,85.5801
3,3,94.1292,81.2689
3,4,90.2484,75.9035
3,5,87.5018,71.7996
3,6,84.4172,72.2742
4,1,99.4406,91.2737
4,2,97.4099,84.7739
4,3,93.0631,76.1299
4,4,88.2810,70.9572
4,5,84.5049,67.1950
4,6,80.3678,68.0403
5,1,99.4983,94.6122
5,2,96.4020,88.3025
5,3,94.2768,81.0289
5,4,86.1633,73.1148
5,5,84.7649,69.1711
5,6,83.4898,69.5544
