restart_numero,momento,financiero_z,financiero_se,esfuerzo_z,esfuerzo_se,n_grupos,n_obs
1,pre_restart,-0.0362,0.2577,-0.8664,0.3033,1026,6494
1,post_restart,-0.3270,1.3734,0.1503,1.6162,1026,6494
2,pre_restart,-1.0271,0.4376,-2.4734,0.5106,741,5108
2,post_restart,5.4671,2.5787,7.9594,3.0091,741,5108
3,pre_restart,-2.0426,0.3832,-1.5642,0.3246,462,3994
3,post_restart,15.9029,2.9297,11.0780,2.4819,462,3994
4,pre_restart,-0.7847,0.2902,-0.9191,0.3148,197,1922
4,post_restart,6.8184,2.5412,7.0501,2.7567,197,1922
