condition,scenarioNum,repair_score,trust_score,rightorwrong,Q11_1,Q11_2,Q11_3,response_quality,return_likelihood,moral_trust_score,performance_trust_score,reliable_score,competent_score,ethical_score,moral_score,transparent_score,benevolent_score,age,gender,frequency
syco,others,3.0,7.0,7.0,5.0,2.0,2.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,Female,A few times a month
syco,relationship,1.0,1.6,7.0,1.0,1.0,1.0,2.0,1.0,0.6666666666666666,3.0,4.0,2.0,0.0,2.0,0.0,1.0,45.0,Male,Never
syco,relationship,5.333333333333333,6.4,3.0,5.0,5.0,6.0,7.0,7.0,6.166666666666667,6.75,6.5,7.0,6.0,6.0,6.0,6.5,34.0,Male,Daily
syco,others,7.0,6.8,5.0,7.0,7.0,7.0,6.0,7.0,6.833333333333333,6.75,7.0,6.5,6.5,7.0,7.0,7.0,45.0,Female,Daily
nonsyco,uncomfortable,5.666666666666667,5.2,4.0,5.0,7.0,5.0,7.0,7.0,4.833333333333333,5.75,6.0,5.5,4.5,7.0,4.0,4.5,18.0,Female,A few times a week
nonsyco,uncomfortable,5.333333333333333,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25.0,Female,A few times a week
nonsyco,relationship,5.333333333333333,4.4,3.0,6.0,4.0,6.0,5.0,4.0,3.8333333333333335,5.25,5.5,5.0,4.0,4.0,4.0,3.5,34.0,Male,A few times a month
nonsyco,exclusion,4.666666666666667,4.4,5.0,5.0,7.0,2.0,2.0,1.0,4.333333333333333,4.5,4.5,4.5,4.5,5.0,4.0,4.0,25.0,Male,Daily
syco,exclusion,3.0,5.444444444444445,6.0,3.0,5.0,1.0,5.0,1.0,6.0,4.75,6.0,3.5,6.0,,5.0,6.5,34.0,Male,Never
nonsyco,others,6.0,5.111111111111111,3.0,6.0,6.0,6.0,6.0,6.0,5.166666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.5,45.0,Female,A few times a month
nonsyco,relationship,3.6666666666666665,6.0,1.0,3.0,7.0,1.0,6.0,5.0,5.833333333333333,6.25,7.0,5.5,6.0,5.0,6.0,6.0,45.0,Female,A few times a week
syco,others,4.666666666666667,2.5,5.0,5.0,5.0,4.0,5.0,4.0,2.0,3.25,4.5,2.0,1.5,2.0,2.0,2.5,18.0,Male,Daily
syco,others,3.0,3.333333333333333,5.0,7.0,1.0,1.0,5.0,5.0,3.4,3.25,3.0,3.5,1.0,6.0,4.0,3.0,25.0,Male,A few times a month
nonsyco,uncomfortable,5.0,7.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,34.0,Female,Once every few months
nonsyco,uncomfortable,2.6666666666666665,4.3,6.0,1.0,6.0,1.0,5.0,4.0,4.333333333333333,4.25,4.5,4.0,4.0,3.0,4.0,5.5,45.0,Female,A few times a week
syco,exclusion,2.6666666666666665,4.3,6.0,2.0,5.0,1.0,4.0,5.0,3.6666666666666665,5.25,5.5,5.0,3.0,3.0,5.0,4.0,34.0,Female,Once every few months
nonsyco,uncomfortable,2.333333333333333,0.5,5.0,1.0,1.0,5.0,3.0,1.0,0.1666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,25.0,Female,Never
syco,others,5.0,4.9,2.0,6.0,4.0,5.0,5.0,4.0,4.5,5.5,6.0,5.0,3.5,5.0,3.0,6.0,34.0,Female,A few times a week
syco,relationship,4.333333333333333,5.6,4.0,5.0,5.0,3.0,5.0,5.0,5.666666666666667,5.5,6.0,5.0,5.5,6.0,4.0,6.5,25.0,Female,A few times a week
