sample_id,country,location,admin1_name,latitude,longitude,analysis_pop,pop_code,SuperPopulation,collection_method,collection_date,data_qc_pass
AfNA1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNA2,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,
AfNC4,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNC7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfND7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfND8,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNE1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNE6,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNE7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNF1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNF2,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNG1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNG8,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNH7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfNH8,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
AfkB9,Afghanistan,Kunar,Kunar,34.8466,71.0973,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,1.0
