gene_name,Ribo_mut_rep1,Ribo_mut_rep2,Ribo_mut_rep3,Ribo_wt_rep1,Ribo_wt_rep2,Ribo_wt_rep3,RNA_mut_rep1,RNA_mut_rep2,RNA_mut_rep3,RNA_wt_rep1,RNA_wt_rep2,RNA_wt_rep3
0610009B22Rik,35.75211306,39.92979591,44.2217127,44.70013547,35.50108363,36.45837982,13.89579135,13.26429137,12.35641987,13.29494901,12.81681664,15.30496306
0610010F05Rik,7.5874557,9.78807584,7.48447398,7.50096636,9.55443144,9.00055699,2.43049484,2.69909797,2.45777799,2.1031974,3.43095211,2.45182477
0610012G03Rik,18.78244334,15.24819081,18.71316904,19.61457819,16.07478279,13.973968,26.8042574,26.09211735,26.44517196,28.22335356,23.139082,31.5002985
0610030E20Rik,1.83780309,0.82409998,1.83307754,2.51038235,1.45729793,1.44592914,2.30294292,2.5042865,2.49497206,2.82897582,2.44543978,2.35176836
1110004F10Rik,446.71035498,436.76249236,436.25761179,407.95069122,529.01097783,542.02534182,61.28721645,59.67660429,60.12516849,57.78967447,58.69252686,66.20829287
1110008P14Rik,83.94439114,65.75898651,82.18929337,96.941484,91.394976,79.78736469,145.66623318,135.75388226,131.40978375,142.73909715,124.2123316,173.8459366
1110032A03Rik,17.59696462,19.8158586,18.42725317,15.70052689,19.20983637,19.95382218,11.29576599,12.09046175,11.96175534,12.8477483,12.47781135,14.38638333
1110032F04Rik,5.81649858,2.49722232,5.16486714,4.21182178,2.65403975,2.96428431,5.00324802,5.21169792,5.95722694,4.63758005,5.92656611,5.93818951
1110038F14Rik,14.72611072,14.25981469,14.41054223,12.7548777,12.29898562,11.93185918,11.84515977,10.03101424,10.03843079,10.81125557,9.10975969,11.45889994
1110051M20Rik,131.66295374,131.50092517,149.10682211,128.50112564,120.15166058,133.32579701,37.46724404,39.70411252,38.86192372,37.56807501,36.17967728,41.84891337
1110059E24Rik,59.68862237,65.19705962,59.32066958,52.96945437,64.43381725,66.83113712,6.76198703,6.80488854,6.50432763,5.79370595,6.75483807,7.16413008
1110059G10Rik,14.11603598,22.61664594,20.81105795,16.07882984,22.19534387,20.70727073,2.51841483,2.61603373,2.34343141,2.37903368,2.8849311,2.80365169
1110065P20Rik,20.80649732,11.55326077,19.01481145,19.90864682,12.45745058,10.7803498,31.4945142,29.21869221,30.39793888,31.7535367,30.99814894,37.63143271
1190005I06Rik,6.57670964,6.74312268,7.11429547,7.19793979,10.34389039,8.29291483,5.71885633,6.63666281,8.28796371,7.70359629,7.37241789,9.80068999
